filename,transcription,word
child-daddy159,daddy dat goes right up here,daddy
child-daddy160,de do daddy do daddy,daddy
child-daddy161,hi daddy,daddy
child-daddy162,because daddy's gonna get on the xxx xxx,daddy
child-daddy163,i don't know dat what i don't know what i hap what happened to him i don't know what happened to my daddy,daddy
child-daddy164,daddy,daddy
child-daddy165,yyy daddy's hay,daddy
child-daddy166,daddy gonna come slow,daddy
child-daddy167,daddy lives on earth,daddy
child-daddy168,but daddy is such a poop,daddy
child-daddy169,thankyou daddy,daddy
child-daddy170,uh put daddy lap,daddy
child-daddy171,yyy daddy,daddy
child-daddy172,daddy's shirts daddy's shirt hair hair wet,daddy
child-daddy173,okay daddy,daddy
child-daddy174,daddy arms,daddy
child-daddy175,daddy spit,daddy
child-daddy176,where's daddy,daddy
child-daddy177,daddy,daddy
child-daddy178,daddy daddy,daddy
child-daddy179,where is daddy,daddy
child-daddy180,yyy daddy daddy,daddy
child-daddy181,xxx want that daddy,daddy
child-daddy182,it's daddy's map i want i want another chicken sandwich,daddy
child-daddy183,then you growed up now to be the daddy,daddy
child-daddy184,ow what about daddy,daddy
child-daddy185,daddy,daddy
child-daddy186,daddy,daddy
child-daddy187,that might be daddy,daddy
child-daddy188,daddy lives on earth,daddy
child-daddy189,to daddy i see,daddy
child-daddy190,you gonna take daddy's tape off,daddy
child-daddy191,hey daddy,daddy
child-daddy192,daddy beans,daddy
child-daddy193,i need my daddy,daddy
child-daddy194,and the other kids will run with their daddy okay,daddy
child-daddy195,daddy holding me,daddy
child-daddy196,that says daddy,daddy
child-daddy197,daddy read sam_i_am,daddy
child-daddy198,mama daddy mama,daddy
child-daddy199,mommy and daddy go to work,daddy
child-daddy200,hey daddy you know what,daddy
child-daddy201,give daddy this piece,daddy
child-daddy202,daddy you cut,daddy
child-daddy203,daddy,daddy
child-daddy204,don't pour that daddy,daddy
child-daddy205,daddy,daddy
child-daddy206,hi daddy,daddy
child-daddy207,well i wish for daddy to come home,daddy
child-daddy208,you're the daddy horse,daddy
child-daddy209,wanna see daddy,daddy
child-daddy210,yeah yyy that's daddy's bed,daddy
child-daddy211,yyy daddy cat is is yawning,daddy
child-daddy212,after daddy eats,daddy
child-daddy213,daddy turn it over,daddy
child-daddy214,daddy i need help finding the baseball shirt for me and marky hasta wear this shirt but i can't find the baseball shirt,daddy
child-daddy215,good daddy,daddy
child-daddy216,daddy,daddy
child-daddy217,yyy daddy xxx,daddy
child-daddy218,daddy,daddy
child-daddy219,daddy that's not david,daddy
child-daddy220,i want my daddy,daddy
child-daddy221,daddy where'd your book go,daddy
child-daddy222,go upstairs daddy,daddy
child-daddy223,daddy went away,daddy
child-daddy224,and the duck sleeping in daddy's bed mommy daddy's bed,daddy
child-daddy225,they don't tell the daddy,daddy
child-daddy226,daddy you know where amanda is,daddy
child-daddy227,that's daddy's puppy,daddy
child-daddy228,no daddy,daddy
child-daddy229,make it on daddy,daddy
child-daddy230,mommy and daddy are round that,daddy
child-daddy231,mm mm mm this is this is xxx see this is a he this is a daddy,daddy
child-daddy232,the mommies and the daddies go shh,daddy
child-daddy233,daddy's daddy's daddy's xxx daddy's xxx daddy's,daddy
child-daddy234,baby daddy,daddy
child-daddy235,daddy,daddy
child-daddy236,you do it daddy,daddy
child-daddy237,oh turn this way daddy,daddy
child-daddy238,daddy can't see it,daddy
child-daddy239,oh daddy,daddy
child-daddy240,n daddy drink,daddy
child-daddy241,the daddy is gonna sit there and he's gonna hold the baby,daddy
child-daddy242,the daddy's where's the daddy,daddy
child-daddy243,daddy,daddy
