filename,transcription,word
other-stomach1,well it takes a little while to fill that stomach up,stomach
other-stomach2,does anybody still have room in their stomachs for some soup,stomach
other-stomach3,you can't lie on your chicken or your duck you can only lie on your back or your stomach,stomach
other-stomach4,your stomach,stomach
other-stomach5,yes jwww put a tube in her stomach,stomach
other-stomach6,you're making my stomach growl buddy,stomach
other-stomach7,my mom useta say keep your hands on your stomach,stomach
other-stomach8,takes a little while to fill that stomach,stomach
other-stomach9,that's mommy's stomach,stomach
