item,transcript_id,corpus_name,target_child_name,media_start,media_end,audio_file
doggy,42206,Providence,Alex,1167.283,1168.331,010526
doggy,42305,Providence,Lily,24.608,26.41,010102
doggy,42305,Providence,Lily,26.41,29.506,010102
doggy,42305,Providence,Lily,513.013,514.171,010102
doggy,42305,Providence,Lily,515.406,516.461,010102
doggy,42305,Providence,Lily,516.943,517.775,010102
doggy,42305,Providence,Lily,519.191,520.095,010102
doggy,42305,Providence,Lily,521.37,522.52,010102
doggy,42305,Providence,Lily,522.52,524.496,010102
doggy,42305,Providence,Lily,544.398,545.326,010102
doggy,42305,Providence,Lily,593.393,595.606,010102
doggy,42305,Providence,Lily,604.388,606.725,010102
doggy,42305,Providence,Lily,626.77,630.295,010102
doggy,42305,Providence,Lily,630.295,631.39,010102
doggy,42305,Providence,Lily,675.951,677.406,010102
doggy,42305,Providence,Lily,682.506,684.626,010102
doggy,42307,Providence,Lily,447.15,449.516,010202
doggy,42307,Providence,Lily,450.408,451.831,010202
doggy,42307,Providence,Lily,491.568,498.905,010202
doggy,42307,Providence,Lily,502.233,504.691,010202
doggy,42307,Providence,Lily,504.691,506.196,010202
doggy,42307,Providence,Lily,506.196,509.463,010202
doggy,42307,Providence,Lily,1973.238,1975.298,010202
doggy,42307,Providence,Lily,1975.298,1978.5,010202
doggy,42307,Providence,Lily,2173.656,2175.055,010202
doggy,42305,Providence,Lily,2437.186,2439.073,010102
doggy,42305,Providence,Lily,2439.073,2440.5,010102
doggy,42305,Providence,Lily,2441.981,2444.516,010102
doggy,42305,Providence,Lily,2444.516,2445.853,010102
doggy,42305,Providence,Lily,2653.118,2655.093,010102
doggy,42305,Providence,Lily,2655.63,2656.54,010102
doggy,42305,Providence,Lily,2657.188,2657.841,010102
doggy,42305,Providence,Lily,2658.691,2659.438,010102
doggy,42307,Providence,Lily,2422.425,2424.483,010202
doggy,42307,Providence,Lily,2792.145,2793.296,010202
doggy,42307,Providence,Lily,2793.296,2795.151,010202
doggy,42305,Providence,Lily,2858.731,2860.643,010102
doggy,42305,Providence,Lily,2868.796,2870.42,010102
doggy,42305,Providence,Lily,2870.42,2871.691,010102
doggy,42305,Providence,Lily,2871.691,2872.641,010102
doggy,42305,Providence,Lily,2872.641,2873.971,010102
doggy,42305,Providence,Lily,2890.958,2892.035,010102
doggy,42305,Providence,Lily,2911.436,2912.731,010102
doggy,42305,Providence,Lily,2912.731,2914.708,010102
doggy,42308,Providence,Lily,139.741,141.065,010213
doggy,42308,Providence,Lily,156.791,158.063,010213
doggy,42308,Providence,Lily,158.063,158.928,010213
doggy,42308,Providence,Lily,191.128,193.841,010213
doggy,42308,Providence,Lily,193.841,197.023,010213
doggy,42308,Providence,Lily,237.625,238.528,010213
doggy,42308,Providence,Lily,2545.63,2550.863,010213
doggy,42308,Providence,Lily,2550.863,2553.89,010213
doggy,42308,Providence,Lily,2556.301,2557.898,010213
doggy,42308,Providence,Lily,2557.898,2559.351,010213
doggy,42308,Providence,Lily,2562.843,2564.35,010213
doggy,42308,Providence,Lily,2572.701,2573.965,010213
doggy,42308,Providence,Lily,2592.456,2594.158,010213
doggy,42308,Providence,Lily,2997.955,2999.183,010213
doggy,42308,Providence,Lily,3115.543,3116.19,010213
doggy,42309,Providence,Lily,57.018,59.8,010228
doggy,42309,Providence,Lily,685.481,686.455,010228
doggy,42309,Providence,Lily,723.173,724.236,010228
doggy,42309,Providence,Lily,724.236,726.95,010228
doggy,42311,Providence,Lily,437.778,439.883,010313
doggy,42311,Providence,Lily,830.81,833.075,010313
doggy,42313,Providence,Lily,1518.56,1520.39,010423
doggy,42313,Providence,Lily,1548.991,1550.86,010423
doggy,42313,Providence,Lily,1618.231,1623.161,010423
doggy,42313,Providence,Lily,1626.783,1627.96,010423
doggy,42313,Providence,Lily,1635.53,1637.658,010423
doggy,42313,Providence,Lily,1640.03,1655.5,010423
doggy,42312,Providence,Lily,1390.416,1391.901,010326
doggy,42309,Providence,Lily,2863.01,2864.875,010228
doggy,42309,Providence,Lily,2864.875,2867.566,010228
doggy,42311,Providence,Lily,2885.305,2887.17,010313
doggy,42311,Providence,Lily,2890.058,2893.13,010313
doggy,42312,Providence,Lily,2581.955,2584.786,010326
doggy,42312,Providence,Lily,2584.786,2587.145,010326
doggy,42319,Providence,Lily,2829.92,2832.703,010719
doggy,42312,Providence,Lily,3386.531,3389.628,010326
doggy,42312,Providence,Lily,3479.286,3480.766,010326
doggy,42312,Providence,Lily,3496.051,3497.435,010326
doggy,42306,Providence,Lily,231.341,233.241,010117
doggy,42306,Providence,Lily,537.88,539.461,010117
doggy,42331,Providence,Lily,1134.911,1136.638,020023
doggy,42306,Providence,Lily,2377.848,2379.36,010117
doggy,42337,Providence,Lily,236.796,241.125,020215a
doggy,42306,Providence,Lily,3528.031,3529.715,010117
doggy,42306,Providence,Lily,3532.913,3535.483,010117
doggy,42306,Providence,Lily,3540.613,3542.028,010117
doggy,42306,Providence,Lily,3542.028,3549.34,010117
doggy,42306,Providence,Lily,3549.34,3555.116,010117
doggy,42334,Providence,Lily,2719.423,2721.898,020115
doggy,42336,Providence,Lily,1993.058,1993.911,020201
doggy,42339,Providence,Lily,2441.99,2442.68,020227
doggy,42339,Providence,Lily,2506.38,2508.52,020227
doggy,42339,Providence,Lily,2511.953,2513.816,020227
doggy,42340,Providence,Lily,2323.146,2324.903,020305
doggy,42342,Providence,Lily,2366.165,2367.563,020402
doggy,42342,Providence,Lily,2369.09,2370.797,020402
doggy,42342,Providence,Lily,2586.645,2587.833,020402
doggy,42342,Providence,Lily,2590.965,2592.83,020402
doggy,42353,Providence,Lily,3173.203,3174.823,020700
doggy,42367,Providence,Lily,1115.77,1118.223,021028
doggy,42367,Providence,Lily,1815.05,1816.81,021028
doggy,42371,Providence,Lily,3042.105,3045.025,030010
doggy,42398,Providence,Naima,402.866,406.05,010423
doggy,42400,Providence,Naima,286.776,289.256,010511
doggy,42398,Providence,Naima,1756.156,1758.366,010423
doggy,42400,Providence,Naima,754.865,757.523,010511
doggy,42398,Providence,Naima,2458.326,2463.44,010423
doggy,42398,Providence,Naima,2465.493,2468.031,010423
doggy,42407,Providence,Naima,111.675,141.356,010717
doggy,42407,Providence,Naima,219.66,243.42,010717
doggy,42398,Providence,Naima,3450.438,3452.775,010423
doggy,42398,Providence,Naima,3464.611,3466.49,010423
doggy,42398,Providence,Naima,3466.49,3470.265,010423
doggy,42398,Providence,Naima,3470.265,3473.713,010423
doggy,42398,Providence,Naima,4333.876,4336.126,010423
doggy,42402,Providence,Naima,3083.496,3084.775,010609
