corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,complexity
NewEngland,469911,1853,1851,14,mommy_mom,mommy,CDS,0,NA
NewEngland,469952,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,470046,1916,1902,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470146,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,470175,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,470317,1932,1930,14,mommy_mom,mommy,CDS,0,NA
NewEngland,470385,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470412,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470568,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,470903,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470935,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470941,1916,1902,15,mommy_mom,mommy,CDS,0,NA
NewEngland,470974,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471005,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471020,1949,1947,15,mommy_mom,mommy,CDS,0,NA
NewEngland,471225,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471258,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471317,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471361,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471379,1874,1869,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471382,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471422,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471426,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471563,1949,1947,15,mommy_mom,mommy,CDS,0,NA
NewEngland,471748,1920,1870,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471760,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471775,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471782,1920,1870,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471791,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471861,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,471968,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472147,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472226,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472258,1946,1944,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472325,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472328,1920,1870,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472359,1920,1870,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472393,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472689,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,472698,1949,1947,15,mommy_mom,mommy,CDS,0,NA
NewEngland,472794,1932,1930,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473107,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473216,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473242,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473291,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473448,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473544,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473585,1939,1935,14,mommy_mom,mommy,CDS,0,NA
NewEngland,473922,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474053,1949,1947,15,mommy_mom,mommy,CDS,0,NA
NewEngland,474131,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474164,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474274,1962,1960,15,mommy_mom,mommy,CDS,0,NA
