id,complexity,item
317409,3.52,birdie
317452,3.52,bird
317560,4.5,bunny
317585,4.2646876,bunny
317712,3.17,mommy
317754,3.6366273333333337,mommy
317771,2.5,mommy
317778,3.521692,horsey
317787,2.5,mommy
317800,3.1966919999999996,duckie
317858,3.54,bird
317875,3.6,bird
317881,3.6,bird
317888,3.6,bird
317899,2.5,mommy
317901,3.085,dog
317935,3.521692,horsey
317951,3.52,bird
317954,3.582877,horsey
317965,3.4230425,mommy
317966,3.6799999999999997,bird
317982,3.4230425,mommy
317992,3.6799999999999997,bird
318009,3.6966919999999996,bunny
318027,2.56,daddy
318038,2.935,mommy
318106,2.6077820000000003,mommy
318159,2.56,daddy
318290,4.1461825,bird
318298,4.1461825,birdie
318363,2.5,mommy
318389,2.56,daddy
318404,3.52,birdie
318416,3.15,birdie
318540,2.6077820000000003,mommy
318610,3.9117836666666665,birdie
318621,3.52,birdie
318661,2.8466919999999996,dog
318692,3.31,bird
318787,3.52,bird
318806,3.88,mommy
318883,2.5,mommy
318898,4.016666666666667,night night
318908,3.1436094,mommy
318925,4.016666666666667,night night
318935,3.1966919999999996,duck
318947,3.7413366,night night
318972,4.004342222222222,night night
318998,3.43,mommy
319024,3.936758666666667,mommy
319061,3.536153,kitty
319078,3.8677946666666667,daddy
319155,3.691391,night night
319172,4.221721666666667,kitty
319270,3.5298456666666667,kitty
319301,3.24884,daddy
319304,3.1966919999999996,duck
319363,3.6966919999999996,bunny
319377,3.521692,horsey
319448,3.0866666666666664,mommy
319483,3.52,birdie
319497,3.61613725,mommy
319504,3.7031789999999996,kitty
319559,3.1226754999999997,daddy
319590,2.56,daddy
319594,3.52,bird
319602,3.52,bird
319676,3.5612335,mommy
319706,7.44,duckie
319722,3.8431233333333332,mommy
319737,3.8431233333333332,mommy
319752,3.8431233333333332,mommy
319773,3.52,birdie
319794,5.5600000000000005,duckie
319805,3.5,duckie
319897,3.5,duck
319947,2.8466919999999996,doggy
320003,3.5,duck
320040,2.54,daddy
320040,2.54,mommy
320060,3.5,duck
320077,4.15,horsey
320111,4.5,bunny
320164,2.6077820000000003,mommy
320233,2.6077820000000003,mommy
320261,4.5,bunny
320266,3.7374066666666668,duck
320279,3.7374066666666668,duck
320291,3.7374066666666668,duck
320354,3.7374066666666668,duck
320355,4.15,horsey
