corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,complexity
Valian,319947,1702,1702,27,doggy_dog,doggy,CDS,0,NA
Valian,332393,1702,1702,27,doggy_dog,doggy,CDS,0,NA
Valian,332426,1702,1702,27,doggy_dog,doggy,CDS,0,NA
Valian,332442,1702,1702,27,doggy_dog,doggy,CDS,0,NA
Valian,333276,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,336061,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,343854,1702,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,344046,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,344204,1702,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,344300,1702,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,345561,1702,1702,30,doggy_dog,doggy,CDS,0,NA
Valian,345728,1702,1702,30,doggy_dog,doggy,CDS,0,NA
Valian,345916,1702,1702,30,doggy_dog,doggy,CDS,0,NA
Valian,349392,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,349863,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,351360,1702,1702,28,doggy_dog,doggy,CDS,0,0.40546510810816444
Valian,351473,1702,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,356437,1702,1702,30,doggy_dog,doggy,CDS,0,NA
Valian,359233,1702,1702,29,doggy_dog,doggy,CDS,0,NA
Valian,364263,1702,1702,29,doggy_dog,doggy,CDS,0,0.10536051565782628
Valian,366031,1702,1702,29,doggy_dog,doggy,CDS,0,NA
Clark,372746,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,374569,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,374998,1740,1740,27,doggy_dog,doggy,CDS,0,0.1823215567939546
Clark,375219,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,375424,1740,1740,28,doggy_dog,doggy,CDS,0,0.060624621816434854
Clark,375492,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,375779,1740,1740,27,doggy_dog,doggy,CDS,0,NA
