id,rarity
317712,5.918926770123777
317754,4.749530582897137
317901,6.902026171670043
317965,8.75759715364305
317982,8.75759715364305
318038,4.04492920265875
318106,5.685765536550414
318540,5.685765536550414
318661,NA
318806,7.148159241208951
318908,7.026073002394797
318998,6.275113210839885
319024,5.515738422164113
319061,4.236567206039928
319078,NA
319172,3.905836929690302
319270,4.403050084647864
319301,5.946377819376865
319448,8.007937762819765
319497,7.194749070845275
319504,5.221704875937298
319559,4.682822687615048
319676,5.793264641716643
319722,5.777779357167205
319737,5.777779357167205
319752,5.777779357167205
319947,NA
320164,5.685765536550414
320233,5.685765536550414
320419,4.2500969964002415
320744,NA
320842,5.224449046241736
320875,6.6608804416503284
320929,3.886669539828277
320993,8.712134779566295
321161,NA
321246,3.830162703485182
321448,5.052863367927065
321610,5.543949650761286
321637,4.1427069188983765
321676,7.102696867132194
321739,5.799545749096284
321770,5.856435855369218
321818,6.735090444209465
321875,5.379701045046977
322003,4.236567206039928
322032,9.084810064851467
322056,7.148159241208951
322079,4.236567206039928
322090,5.519554434390628
322092,7.250939110273286
322245,7.028949620613219
322256,3.5942740432027
322399,6.414507518965937
322487,5.72930838457109
322517,6.361854194262081
322534,4.359136532273238
322807,5.116955690592785
323099,4.420933942933699
323161,7.97550248706661
323368,6.270638011273874
323507,4.937587443140268
323841,8.256117392295298
323846,5.824235210815519
323921,6.902026171670043
323923,5.719915657312093
323972,3.7712863228581663
324344,8.84065733106124
325144,5.685765536550414
325237,4.572421810538278
325242,7.162210994664601
325282,4.1427069188983765
325399,5.0878494575292015
325452,7.005368523171632
325480,7.005368523171632
325565,7.156902939225262
325597,5.089261105702545
326085,4.775858462458175
326171,7.756623334538858
326355,5.769784825705298
326416,6.801683010326091
326428,4.04492920265875
326498,4.801689371447028
327016,9.746208547096833
327218,4.420933942933699
327662,4.5517281034133505
327702,9.108647125173501
328087,NA
328106,NA
328204,5.616438566780878
328267,8.331558824729292
328283,8.331558824729292
328302,7.054974441696968
328367,5.886900777620784
328385,9.810747068234404
328413,9.810747068234404
328775,3.9762459270873056
328924,4.736397827957073
329174,7.765207078230249
329188,3.987625721852909
