item,pair,form,form_numeric,speaker_id,target_child_id,age,pitch_mean,pitch_mean_scaled,pitch_range,pitch_range_scaled
bathroom,potty_bathroom,ADS,1, 2338, 2335,16,104.55084,-1.964569e+00, 19.9979128,-2.1415025196
bathroom,potty_bathroom,ADS,1, 2338, 2335,16,151.92297,-1.191088e+00,340.3620294, 0.6477619903
bathroom,potty_bathroom,ADS,1, 2338, 2335,16,109.56959,-1.882624e+00, 54.7533146,-1.8389030592
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,215.78372,-1.483854e-01,376.9821943, 0.9665970937
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,131.22100,-1.529105e+00, 38.9534819,-1.9764650097
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,191.75655,-5.406952e-01,394.1400658, 1.1159828691
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,180.64824,-7.220689e-01,117.7900632,-1.2900707886
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,120.48829,-1.704346e+00, 41.0564250,-1.9581556412
bathroom,potty_bathroom,ADS,1, 2338, 2335,16,126.71250,-1.602719e+00, 43.0396729,-1.9408884043
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,132.71940,-1.504639e+00, 99.1928027,-1.4519886685
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,143.23078,-1.333012e+00,351.7641671, 0.7470352123
bathroom,potty_bathroom,ADS,1, 2338, 2335,18,160.46174,-1.051669e+00, 86.6004126,-1.5616248759
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,195.91010,-4.728770e-01,254.1259717,-0.1030561033
bathroom,potty_bathroom,ADS,1, 2338, 2335,17,186.74716,-6.224872e-01,318.5181035, 0.4575768720
bathroom,potty_bathroom,ADS,1, 2338, 2335,18,181.93182,-7.011110e-01,382.6117416, 1.0156109994
bathroom,potty_bathroom,ADS,1, 2338, 2335,19,173.21851,-8.433797e-01,314.8328259, 0.4254908384
bathroom,potty_bathroom,ADS,1, 2338, 2335,18,122.22133,-1.676049e+00,100.2072616,-1.4431562369
bathroom,potty_bathroom,ADS,1, 2338, 2335,18,165.59665,-9.678276e-01,247.7977657,-0.1581529116
bathroom,potty_bathroom,ADS,1, 3396, 3395,31,157.16091,-1.105564e+00,354.7555872, 0.7730801445
bathroom,potty_bathroom,ADS,1, 3396, 3395,31,152.63845,-1.179406e+00,310.5170533, 0.3879153707
bathroom,potty_bathroom,ADS,1, 3432, 3429,65,138.71498,-1.406745e+00,280.4386688, 0.1260365706
bathroom,potty_bathroom,ADS,1, 3900, 3898,31,310.60748, 1.399874e+00,422.5401332, 1.3632493263
bathroom,potty_bathroom,ADS,1, 3907, 3906,17,211.90321,-2.117454e-01,404.3894114, 1.2052192554
bathroom,potty_bathroom,ADS,1, 3907, 3906,17,280.50834, 9.084223e-01,313.7333651, 0.4159183335
bathroom,potty_bathroom,ADS,1, 3907, 3906,17,157.26266,-1.103903e+00,138.2641155,-1.1118125364
bathroom,potty_bathroom,ADS,1, 3907, 3906,17,215.71057,-1.495799e-01,431.3456038, 1.4399145500
bathroom,potty_bathroom,ADS,1, 3907, 3906,19,207.68166,-2.806739e-01,142.0699384,-1.0786769691
bathroom,potty_bathroom,ADS,1, 3907, 3906,18,216.77152,-1.322569e-01,261.6354329,-0.0376746433
bathroom,potty_bathroom,ADS,1, 3907, 3906,18,231.57363, 1.094284e-01,244.7428931,-0.1847502962
bathroom,potty_bathroom,ADS,1, 3908, 3906,21,287.04668, 1.015179e+00, 94.8575315,-1.4897339009
bathroom,potty_bathroom,ADS,1, 3909, 3906,19,131.72794,-1.520828e+00, 43.4032820,-1.9377226259
bathroom,potty_bathroom,ADS,1, 3907, 3906,24,183.56315,-6.744751e-01,215.2289092,-0.4417151179
bathroom,potty_bathroom,ADS,1, 3909, 3906,24,149.81835,-1.225452e+00,263.0836205,-0.0250659332
bathroom,potty_bathroom,ADS,1, 3909, 3906,24,157.65597,-1.097481e+00,252.3880839,-0.1181871012
bathroom,potty_bathroom,ADS,1, 3907, 3906,25,141.05682,-1.368508e+00,137.4766358,-1.1186687637
bathroom,potty_bathroom,ADS,1, 3909, 3906,23,166.86833,-9.470640e-01,260.4574156,-0.0479311037
bathroom,potty_bathroom,ADS,1, 3908, 3906,23,275.67303, 8.294725e-01,348.3621534, 0.7174154280
bathroom,potty_bathroom,ADS,1, 3909, 3906,26,139.72073,-1.390323e+00,201.9768622,-0.5570946577
bathroom,potty_bathroom,ADS,1, 3907, 3906,26,173.10335,-8.452601e-01,140.9765760,-1.0881963775
bathroom,potty_bathroom,ADS,1, 3907, 3906,26,223.66341,-1.972782e-02, 87.3562447,-1.5550441905
bathroom,potty_bathroom,ADS,1, 3907, 3906,26,256.28549, 5.129175e-01,169.1617691,-0.8428007334
bathroom,potty_bathroom,ADS,1, 3907, 3906,27, 74.89563,-2.448772e+00,  0.0000000,-2.3156152416
bathroom,potty_bathroom,ADS,1, 3907, 3906,30,169.34186,-9.066768e-01,274.0403300, 0.0703291480
bathroom,potty_bathroom,ADS,1, 3907, 3906,31,235.81192, 1.786301e-01,333.2954975, 0.5862369139
bathroom,potty_bathroom,ADS,1, 3907, 3906,29,227.45201, 4.213149e-02,286.4395476, 0.1782834906
bathroom,potty_bathroom,ADS,1, 3907, 3906,29,229.84967, 8.127996e-02,433.9532756, 1.4626183611
bathroom,potty_bathroom,ADS,1, 3908, 3906,29,281.89773, 9.311080e-01,268.5086593, 0.0221674094
bathroom,potty_bathroom,ADS,1, 3907, 3906,29,301.28924, 1.247728e+00,232.1893184,-0.2940485560
bathroom,potty_bathroom,ADS,1, 3908, 3906,40,359.70354, 2.201502e+00,414.0909678, 1.2896862896
bathroom,potty_bathroom,ADS,1, 3908, 3906,40,276.62857, 8.450744e-01,399.0759320, 1.1589572089
bathroom,potty_bathroom,ADS,1, 3907, 3906,38,194.51220,-4.957016e-01,159.3999021,-0.9277928649
bathroom,potty_bathroom,ADS,1, 3908, 3906,42,260.28508, 5.782220e-01,157.2347780,-0.9466436142
bathroom,potty_bathroom,ADS,1, 3908, 3906,36,226.93003, 3.360886e-02,281.1797039, 0.1324884264
bathroom,potty_bathroom,ADS,1, 3908, 3906,36,200.40165,-3.995402e-01,347.6906418, 0.7115688817
bathroom,potty_bathroom,ADS,1, 3908, 3906,36,328.74385, 1.696000e+00,394.4734059, 1.1188851100
bathroom,potty_bathroom,ADS,1, 3908, 3906,43,304.36615, 1.297967e+00,282.3364936, 0.1425600677
bathroom,potty_bathroom,ADS,1, 3907, 3906,43,359.97137, 2.205875e+00,306.4771180, 0.3527414932
bathroom,potty_bathroom,ADS,1, 3907, 3906,43,361.26230, 2.226953e+00,307.8438935, 0.3646413858
bathroom,potty_bathroom,ADS,1, 3909, 3906,41,144.03086,-1.319949e+00,207.3073580,-0.5106844571
bathroom,potty_bathroom,ADS,1, 3908, 3906,43,235.25737, 1.695756e-01,237.5134129,-0.2476940891
bathroom,potty_bathroom,ADS,1, 3907, 3906,56,175.14108,-8.119886e-01,280.5447914, 0.1269605326
bathroom,potty_bathroom,ADS,1, 3908, 3906,43,289.26213, 1.051352e+00,333.1046089, 0.5845749339
bathroom,potty_bathroom,ADS,1, 3907, 3906,27,209.70036,-2.477131e-01, 48.0935494,-1.8968866023
bathroom,potty_bathroom,ADS,1, 3907, 3906,27,235.49264, 1.734171e-01,233.5186964,-0.2824742671
bathroom,potty_bathroom,ADS,1, 3907, 3906,51,202.43014,-3.664194e-01,294.3437114, 0.2471014467
bathroom,potty_bathroom,ADS,1, 3908, 3906,51,338.13283, 1.849301e+00,385.2938787, 1.0389631456
bathroom,potty_bathroom,ADS,1, 3908, 3906,51,321.68496, 1.580744e+00,236.5021169,-0.2564989828
bathroom,potty_bathroom,ADS,1, 3914, 3906,51,313.84437, 1.452725e+00,121.2884716,-1.2596117392
bathroom,potty_bathroom,ADS,1, 3914, 3906,51,355.19445, 2.127879e+00,320.1644206, 0.4719106059
bathroom,potty_bathroom,ADS,1, 3929, 3923, 9,185.77095,-6.384266e-01,266.7219771, 0.0066115813
bathroom,potty_bathroom,ADS,1, 3934, 3926, 7,150.60359,-1.212631e+00,274.3748197, 0.0732413979
bathroom,potty_bathroom,ADS,1, 3929, 3923, 7,164.45223,-9.865135e-01,147.0462753,-1.0353502688
bathroom,potty_bathroom,ADS,1, 3929, 3923, 9,272.02602, 7.699250e-01,231.4533701,-0.3004561234
bathroom,potty_bathroom,ADS,1, 3928, 3923, 6,256.58481, 5.178048e-01,285.0552943, 0.1662314278
bathroom,potty_bathroom,ADS,1, 3980, 3978,52,203.11946,-3.551644e-01,409.0921166, 1.2461635683
bathroom,potty_bathroom,ADS,1, 3989, 3985,33,152.51897,-1.181357e+00,212.2667894,-0.4675049456
bathroom,potty_bathroom,ADS,1, 3987, 3985,33,245.69405, 3.399832e-01,210.7058639,-0.4810952138
bathroom,potty_bathroom,ADS,1, 3989, 3985,33,194.02412,-5.036708e-01,138.7806502,-1.1073153041
bathroom,potty_bathroom,ADS,1, 3994, 3993,28,236.41045, 1.884028e-01,212.7514686,-0.4632850648
bathroom,potty_bathroom,ADS,1, 3994, 3993,28,170.35098,-8.902001e-01,140.7368296,-1.0902837405
bathroom,potty_bathroom,ADS,1, 3994, 3993,28,221.08540,-6.182096e-02,156.6949298,-0.9513438271
bathroom,potty_bathroom,ADS,1, 3994, 3993,28,198.19745,-4.355298e-01,168.7369379,-0.8464995449
bathroom,potty_bathroom,ADS,1, 3994, 3993,29,225.08459, 3.476826e-03,351.9210385, 0.7484010202
bathroom,potty_bathroom,ADS,1, 5132, 5130,24,227.51886, 4.322300e-02,345.0304850, 0.6884081074
bathroom,potty_bathroom,ADS,1, 4280, 4278,24,277.67410, 8.621455e-01,311.0853410, 0.3928631930
bathroom,potty_bathroom,ADS,1, 5296, 5292,24,161.87880,-1.028532e+00,160.7412135,-0.9161146774
bathroom,potty_bathroom,ADS,1, 5565, 5564,40,260.24842, 5.776233e-01,259.5604244,-0.0557407973
bathroom,potty_bathroom,ADS,1,22675,22674,14,146.89804,-1.273134e+00, 65.5176750,-1.7451826737
bathroom,potty_bathroom,ADS,1,22679,22674,14,239.74220, 2.428028e-01,225.3414471,-0.3536698541
bathroom,potty_bathroom,ADS,1,22679,22674,14,226.54097, 2.725633e-02,254.1469945,-0.1028730672
bathroom,potty_bathroom,ADS,1,22707,22704,29,234.03380, 1.495974e-01, 87.2393171,-1.5560622255
bathroom,potty_bathroom,ADS,1,22708,22704,34,119.74995,-1.716401e+00, 34.7548589,-2.0130205084
bathroom,potty_bathroom,ADS,1,22721,22720,19,363.65004, 2.265940e+00,411.7028734, 1.2688942392
bathroom,potty_bathroom,ADS,1,22721,22720,19,253.34519, 4.649091e-01,289.1122383, 0.2015533914
bathroom,potty_bathroom,ADS,1,22721,22720,18,274.26335, 8.064556e-01,445.8439331, 1.5661449021
bathroom,potty_bathroom,ADS,1,22721,22720,20,207.38099,-2.855832e-01,144.0366974,-1.0615532933
bathroom,potty_bathroom,ADS,1,22721,22720,16,280.37007, 9.061647e-01,366.5542493, 0.8758057243
bathroom,potty_bathroom,ADS,1,22721,22720,23,275.11851, 8.204185e-01,325.8729407, 0.5216120910
bathroom,potty_bathroom,ADS,1,22721,22720,32,209.33648,-2.536544e-01,360.5131170, 0.8232083353
bathroom,potty_bathroom,ADS,1,22721,22720,35,207.97456,-2.758914e-01,285.0022282, 0.1657694048
bathroom,potty_bathroom,ADS,1,22721,22720,35,231.95759, 1.156976e-01,226.1818343,-0.3463529851
bathroom,potty_bathroom,ADS,1,22731,22728,19,330.25844, 1.720730e+00,372.8680927, 0.9307774844
bathroom,potty_bathroom,ADS,1,22729,22728,19,338.19757, 1.850358e+00,345.7100538, 0.6943248042
bathroom,potty_bathroom,ADS,1,22729,22728,19,287.66854, 1.025332e+00,405.3621202, 1.2136881883
bathroom,potty_bathroom,ADS,1,22729,22728,21,234.84027, 1.627652e-01,377.1479576, 0.9680403190
bathroom,potty_bathroom,ADS,1,22729,22728,22,205.82131,-3.110493e-01,410.8390453, 1.2613732808
bathroom,potty_bathroom,ADS,1,22729,22728,26,277.39867, 8.576484e-01,267.5276009, 0.0136257811
bathroom,potty_bathroom,ADS,1,22729,22728,23,161.78549,-1.030055e+00,389.3484400, 1.0742643653
bathroom,potty_bathroom,ADS,1,22729,22728,26,204.97417,-3.248811e-01,257.1299222,-0.0769020736
bathroom,potty_bathroom,ADS,1,22729,22728,31,280.09240, 9.016310e-01,408.8047766, 1.2436618295
bathroom,potty_bathroom,ADS,1,22729,22728,32,205.25194,-3.203457e-01,416.3212419, 1.3091042707
bathroom,potty_bathroom,ADS,1,22729,22728,34,295.66267, 1.155859e+00,381.5110037, 1.0060273758
bathroom,potty_bathroom,ADS,1,22729,22728,34,128.50402,-1.573467e+00,  3.8413566,-2.2821702982
bathroom,potty_bathroom,ADS,1,22729,22728,41,229.62661, 7.763798e-02,268.3289800, 0.0206030240
bathroom,potty_bathroom,ADS,1,22729,22728,45,231.75840, 1.124452e-01,417.1130900, 1.3159985323
bathroom,potty_bathroom,ADS,1,22744,22743,14,309.95389, 1.389202e+00,334.7558771, 0.5989517747
bathroom,potty_bathroom,ADS,1,22729,22728,41,179.39021,-7.426097e-01,399.3671920, 1.1614930773
bathroom,potty_bathroom,ADS,1,22744,22743,15,205.28023,-3.198838e-01,208.1368280,-0.5034626395
bathroom,potty_bathroom,ADS,1,22744,22743,17,254.69831, 4.870026e-01,332.2514726, 0.5771470644
bathroom,potty_bathroom,ADS,1,22744,22743,17,214.47806,-1.697039e-01,387.5808141, 1.0588744509
bathroom,potty_bathroom,ADS,1,22729,22728,40,180.94233,-7.172672e-01,449.0197789, 1.5937955459
bathroom,potty_bathroom,ADS,1,22729,22728,40,194.64926,-4.934637e-01,429.8608997, 1.4269879073
bathroom,potty_bathroom,ADS,1,22744,22743,18,263.06872, 6.236725e-01,268.8431805, 0.0250799336
bathroom,potty_bathroom,ADS,1,22729,22728,35,258.53483, 5.496443e-01,310.0380183, 0.3837446312
bathroom,potty_bathroom,ADS,1,22729,22728,35,189.98438,-5.696307e-01,417.0999607, 1.3158842213
bathroom,potty_bathroom,ADS,1,22744,22743,18,308.52349, 1.365847e+00,229.2699912,-0.3194658090
bathroom,potty_bathroom,ADS,1,22744,22743,17,253.93878, 4.746011e-01,234.2249445,-0.2763252865
bathroom,potty_bathroom,ADS,1,22744,22743,18,240.56532, 2.562425e-01,358.3148491, 0.8040690179
bathroom,potty_bathroom,ADS,1,22744,22743,18,302.81685, 1.272670e+00,276.7714852, 0.0941080726
bathroom,potty_bathroom,ADS,1,22744,22743,18,211.11162,-2.246703e-01,164.2648011,-0.8854364043
bathroom,potty_bathroom,ADS,1,22744,22743,18,325.18373, 1.637871e+00,302.1012801, 0.3146430649
bathroom,potty_bathroom,ADS,1,22744,22743,21,242.71712, 2.913766e-01,378.7548872, 0.9820311238
bathroom,potty_bathroom,ADS,1,22744,22743,18,296.10597, 1.163097e+00,438.3198187, 1.5006358641
bathroom,potty_bathroom,ADS,1,22744,22743,19,286.51824, 1.006550e+00,359.5473751, 0.8148000604
bathroom,potty_bathroom,ADS,1,22744,22743,19,286.09864, 9.996994e-01,201.9286536,-0.5575143879
bathroom,potty_bathroom,ADS,1,22744,22743,21,241.02855, 2.638059e-01,229.2385965,-0.3197391486
bathroom,potty_bathroom,ADS,1,22744,22743,18,270.89000, 7.513764e-01,334.6798080, 0.5982894756
bathroom,potty_bathroom,ADS,1,22744,22743,18,235.39122, 1.717611e-01,280.8651572, 0.1297498112
bathroom,potty_bathroom,ADS,1,22744,22743,23,231.50342, 1.082820e-01,174.5921900,-0.7955205303
bathroom,potty_bathroom,ADS,1,22744,22743,19,246.75768, 3.573498e-01,418.6149527, 1.3290745665
bathroom,potty_bathroom,ADS,1,22744,22743,26,167.43326,-9.378399e-01,203.3743146,-0.5449276756
bathroom,potty_bathroom,ADS,1,22744,22743,26,165.89648,-9.629320e-01,155.1036798,-0.9651981167
bathroom,potty_bathroom,ADS,1,22744,22743,22,274.68362, 8.133177e-01,255.1426943,-0.0942039623
bathroom,potty_bathroom,ADS,1,22745,22743,29,120.70035,-1.700883e+00, 23.3118453,-2.1126496179
bathroom,potty_bathroom,ADS,1,22744,22743,30,254.45695, 4.830617e-01,396.9908230, 1.1408031144
bathroom,potty_bathroom,ADS,1,22744,22743,34,244.73057, 3.242517e-01,177.8126424,-0.7674815176
bathroom,potty_bathroom,ADS,1,22744,22743,30,282.91365, 9.476957e-01,381.4929252, 1.0058699741
bathroom,potty_bathroom,ADS,1,22757,22755,18,183.00440,-6.835981e-01,394.7654922, 1.1214281720
bathroom,potty_bathroom,ADS,1,22744,22743,40,283.02842, 9.495696e-01,356.7497957, 0.7904428102
bathroom,potty_bathroom,ADS,1,22744,22743,40,253.96008, 4.749488e-01,290.6807739, 0.2152099174
bathroom,potty_bathroom,ADS,1,22744,22743,35,276.69310, 8.461280e-01,354.5273059, 0.7710926035
bathroom,potty_bathroom,ADS,1,22744,22743,35,263.88857, 6.370588e-01,393.9880807, 1.1146596044
bathroom,potty_bathroom,ADS,1,22756,22755,26,178.71611,-7.536162e-01,350.2109576, 0.7335121240
bathroom,potty_bathroom,ADS,1,22751,22743,37,213.05083,-1.930073e-01, 78.0258661,-1.6362795484
bathroom,potty_bathroom,ADS,1,22756,22755,40,219.94886,-8.037809e-02, 89.4917945,-1.5364509304
bathroom,potty_bathroom,ADS,1,22756,22755,47,255.37443, 4.980420e-01,297.8418115, 0.2775578111
bathroom,potty_bathroom,ADS,1,22766,22764,19,279.08189, 8.851317e-01,440.3385164, 1.5182117454
bathroom,potty_bathroom,ADS,1,22756,22755,32,164.07717,-9.926373e-01,151.7623953,-0.9942891597
bathroom,potty_bathroom,ADS,1,22756,22755,32,259.16342, 5.599077e-01,297.7690977, 0.2769247254
bathroom,potty_bathroom,ADS,1,22756,22755,32,259.86798, 5.714116e-01,321.6550472, 0.4848888129
bathroom,potty_bathroom,ADS,1,22756,22755,32,211.94875,-2.110019e-01,166.6780465,-0.8644253754
bathroom,potty_bathroom,ADS,1,22756,22755,32,223.48290,-2.267512e-02,380.0987488, 0.9937315150
bathroom,potty_bathroom,ADS,1,22756,22755,32,213.04703,-1.930694e-01,355.9213350, 0.7832297807
bathroom,potty_bathroom,ADS,1,22766,22764,30,339.30289, 1.868405e+00,181.4671322,-0.7356635388
bird,birdie_bird,ADS,1, 1717, 1716,18,207.95147,-4.298283e-01,277.9215964, 0.0510316245
bird,birdie_bird,ADS,1, 1717, 1716,18,168.88593,-1.032861e+00, 83.9249298,-1.6935250940
