word,aoa,babiness
listen,28,2.166666667
little,25,7.5
living room,27,NA
lollipop,27,5.181818182
long,29,1.933333333
look,24,3.25
loud,26,6.5
love,23,8.333333333
lunch,24,4.7
mad,28,3.3
mailman,28,NA
make,26,3.25
man,25,3
me,22,2.2
meat,26,2.416666667
medicine,24,3.272727273
melon,28,3.636363636
meow,16,1.818181818
milk,18,9.125
mine,20,3.181818182
mittens,28,5.285714286
mommy,16,8.454545455
money,23,4.8
monkey,21,2.230769231
moo,16,4.076923077
moon,21,2.666666667
moose,29,2
mop,29,2.25
more,20,3.1875
morning,27,3.583333333
motorcycle,25,NA
mouse,23,1.818181818
mouth,20,4.153846154
movie,27,2.8
much,NA,3.363636364
muffin,26,2.307692308
my,25,4.5
myself,30,NA
nail,28,2.846153846
nap,23,8.5
napkin,25,3.357142857
naughty,NA,5.5
necklace,26,NA
need,28,NA
new,28,7.416666667
next to,30,NA
nice,25,5.875
night,24,3.8
night night,18,NA
no,16,5.307692308
noisy,28,8.363636364
none,NA,1.285714286
noodles,24,2.076923077
nose,17,5.833333333
not,28,1.916666667
now,26,2.666666667
nurse,NA,6.357142857
nuts,27,1.25
of,NA,2.636363636
off,22,1.8
old,29,1.454545455
on,22,2
on top of,29,NA
open,22,2.789473684
other,29,1.923076923
ouch,17,5.25
our,NA,5.454545455
out,22,1.785714286
outside,20,NA
oven,27,1.3
over,27,2.705882353
owie,19,7.5
owl,24,2.416666667
paint,26,3.083333333
pajamas,23,6.4
pancake,24,NA
pants,22,3.428571429
paper,23,2.833333333
park,23,5.142857143
party,26,5.833333333
pattycake,25,NA
peanut butter,25,NA
peas,25,6
peekaboo,19,8.545454545
pen,24,2.545454545
pencil,25,2.363636364
penguin,27,1.3
penis,27,3.285714286
penny,27,1
people,27,3.923076923
person,NA,6
pick,28,2.263157895
pickle,26,1.133333333
picnic,28,2.727272727
picture,24,5.3
pig,21,1.416666667
pillow,22,3.888888889
pizza,22,1.909090909
plant,26,2.2
plate,24,3.1
play,23,8.909090909
play dough,27,NA
playground,28,NA
please,19,3
police,28,1.9
pony,28,3
pool,24,1.666666667
poor,NA,1.363636364
popcorn,24,NA
popsicle,26,3.636363636
porch,30,1.125
potato,25,2.833333333
potato chip,24,NA
potty,21,6.909090909
pour,28,2.181818182
present,25,4.1
pretend,30,3.8
pretty,24,5.6875
pretzel,26,1.545454545
pudding,29,5.6
pull,26,3.105263158
pumpkin,25,1.909090909
puppy,21,4.25
purse,25,1.4
push,25,4.142857143
put,27,1.3
puzzle,24,3.307692308
quack,17,2.5
quiet,27,3.3
radio,27,1.8
rain,22,2.166666667
raisin,24,2.4
read,23,4.636363636
red,24,2
refrigerator,26,2.352941176
ride,24,2.7
rip,30,2.176470588
rock,22,3.368421053
rocking chair,26,NA
roof,29,1.333333333
room,25,4.6
rooster,28,1.5
run,24,2
sad,26,2.1
salt,28,1
same,30,2.25
sandbox,27,NA
sandwich,25,2.7
sauce,28,1.818181818
say,27,3.9
scared,26,4.947368421
scarf,NA,2.6
school,24,3.785714286
scissors,26,1.2
see,23,5.181818182
shake,27,3.545454545
share,26,3.857142857
she,29,4.588235294
sheep,23,3.4
shh,19,7.454545455
shirt,22,5
shoe,16,4.153846154
shopping,26,3.769230769
shorts,25,3.6
shoulder,27,2.833333333
shovel,26,2
show,27,3.307692308
shower,24,2.727272727
sick,26,5.6
sidewalk,27,NA
sing,24,6.1875
sink,25,3.166666667
sister,27,7.1
sit,22,5.833333333
skate,30,2.071428571
sky,24,2.416666667
sled,30,1.545454545
sleep,23,7.727272727
sleepy,25,6.7
slipper,27,2
slow,28,3.133333333
smile,27,5.636363636
snack,24,3.166666667
sneaker,30,2.2
snow,25,1.444444444
snowman,27,NA
so,NA,1.8
soap,23,4.9
sock,21,4.6
soda,26,1.2
sofa,30,2.2
soft,26,7.4375
some,26,1.6
soup,25,2.636363636
spaghetti,24,4
spill,26,7.0625
splash,25,3.0625
spoon,20,6.9
sprinkler,29,2.727272727
squirrel,25,1.5
stairs,25,2.090909091
stand,26,2.5
star,22,3.636363636
stay,26,3.2
stick,24,1.25
sticky,26,5.916666667
stone,30,1.153846154
stop,23,2.777777778
store,24,3.75
story,25,7
stove,26,1.1
strawberry,24,2.833333333
street,25,1.7
stroller,25,8.538461538
stuck,26,2.4
sun,23,2.588235294
sweater,24,2.909090909
sweep,26,1.6875
swim,25,2.5
table,24,3.928571429
take,27,4.3
talk,26,5.090909091
tape,26,1.5
taste,28,4.333333333
teacher,28,2.9
tear,29,7.4
teddybear,23,NA
telephone,21,NA
thank you,18,2.75
that,24,1.538461538
the,27,2
their,NA,2.7
them,NA,4.1
then,NA,2.3
there,25,2.230769231
these,29,2.090909091
they,30,2.909090909
think,30,2.7
thirsty,26,4.454545455
this,25,2.3
those,30,2.818181818
throw,24,3.5
tickle,23,6.842105263
tiger,24,2
tights,NA,2.666666667
time,30,4.3
tiny,30,8
tired,26,4.25
tissue,25,3
to,27,2.5
toast,23,2.533333333
today,29,2.714285714
toe,21,4.357142857
tomorrow,29,2.133333333
tongue,23,3.8
tonight,30,2.5
too,26,2
tooth,22,7.3
toothbrush,22,NA
top,NA,2.636363636
touch,26,6.4
towel,23,5.4
toy,21,8.266666667
tractor,25,1.294117647
train,21,3.545454545
trash,24,1.727272727
tray,NA,2.3
tree,20,3.363636364
tricycle,29,NA
truck,19,3.181818182
try,28,3.8
tummy,22,7.166666667
tuna,30,2.2
turkey,27,2.636363636
turn,NA,3.3
turn around,26,NA
turtle,23,2.083333333
TV,22,2.5
uh oh,16,7.083333333
uncle,26,5.222222222
under,27,2.181818182
underpants,27,NA
up,19,3
us,NA,4.916666667
vacuum,24,2
vagina,NA,5.133333333
vanilla,NA,3.818181818
vitamins,27,5.3
vroom,17,5.5
wait,26,4.3
wake,27,5.411764706
walk,23,4.538461538
walker,NA,7.6
wanna,25,4.545454545
was,NA,3.181818182
wash,24,5.454545455
washing machine,27,NA
we,30,2.461538462
were,NA,2.470588235
wet,23,6.588235294
what,24,4.363636364
when,NA,2.75
where,25,2.388888889
which,NA,1.214285714
white,27,3.727272727
who,28,2.7
why,28,3.4
will,30,1.818181818
wind,26,2.545454545
window,25,3
windy,27,1.6
wipe,26,8.266666667
wish,NA,3.916666667
with,28,3.818181818
wolf,28,1.181818182
woods,NA,1.294117647
woof,16,2.7
would,NA,1.181818182
write,27,1.357142857
yard,27,2.6
yellow,24,2.538461538
yes,18,4.25
yesterday,NA,2.0625
yogurt,24,3.5
you,24,2.545454545
your,29,2.333333333
yourself,NA,4.235294118
yucky,22,5.3
yum,16,4.333333333
zebra,25,1.727272727
zipper,25,2.7
zoo,26,3.727272727
