age,predicted,std.error,conf.low,conf.high,group,predictor,level
-2.443,0.6699221409697591,0.4164756764430635,0.4729154402802103,0.8211429402350374,1,Rarity,Lexical
-2.236,0.672991457521105,0.4163289942440032,0.47645655008775634,0.8231353908882791,1,Rarity,Lexical
-2.231,0.6730654140546929,0.41632561582747074,0.4765420343754566,0.8231833484270169,1,Rarity,Lexical
-2.191,0.6736567564089201,0.4162988681751072,0.4772258209806442,0.8235667208366134,1,Rarity,Lexical
-2.125,0.6746312640008194,0.41625582176369536,0.4783537225933928,0.8241981656182091,1,Rarity,Lexical
-2.094,0.6750884668917159,0.41623607039864924,0.4788833428428797,0.8244942716751569,1,Rarity,Lexical
-2.071,0.67542746648272,0.41622160925048973,0.4792762231928556,0.8247137641933892,1,Rarity,Lexical
-2.066,0.6755011377303906,0.41621848729000116,0.47936162472598604,0.8247614575110046,1,Rarity,Lexical
-2.03,0.6760313140275324,0.4161962386867782,0.47997643879141677,0.8251046126547914,1,Rarity,Lexical
-2.01,0.6763256614012232,0.4161840525230706,0.4803179432782421,0.8252950746975722,1,Rarity,Lexical
-1.983,0.6767228090319911,0.41616779856850905,0.4807789068874418,0.8255519947504422,1,Rarity,Lexical
-1.98,0.6767669208341938,0.41616600657219255,0.4808301202514691,0.8255805269718282,1,Rarity,Lexical
-1.954,0.67714909133944,0.4161505932243283,0.4812739287765581,0.8258276851179077,1,Rarity,Lexical
-1.95,0.6772078658150811,0.4161482406072657,0.4813422005174713,0.8258656901704279,1,Rarity,Lexical
-1.919,0.6776631780183427,0.41613017662239177,0.4818712473374069,0.8261600549672655,1,Rarity,Lexical
-1.916,0.6777072226161414,0.41612844436417556,0.48192243982722077,0.826188525488231,1,Rarity,Lexical
-1.905,0.677868692465472,0.41612211671182625,0.4821101371362026,0.82629289263937,1,Rarity,Lexical
-1.899,0.677956749032493,0.4161186811358747,0.48221251185120273,0.8263498037757171,1,Rarity,Lexical
