age,predicted,std.error,conf.low,conf.high,group,predictor,level
-1.16,0.6572046813681851,0.41326936647206863,0.46030096477381877,0.8116634181047451,1,Length,Syntactic
-0.95,0.6663508145053832,0.4131954594915638,0.4705037790636079,0.8178091751799884,1,Length,Syntactic
-0.74,0.6753734572402522,0.4131367472840728,0.48072386843700093,0.8238022443994576,1,Length,Syntactic
-0.53,0.6842677164234191,0.4130932363284138,0.4909526684177434,0.8296434524856094,1,Length,Syntactic
-0.32,0.6930290483254513,0.4130649314283427,0.5011815985636346,0.8353338233652668,1,Length,Syntactic
-0.11,0.7016532624983279,0.413051835709902,0.5114020912607328,0.8408745661311081,1,Length,Syntactic
0.1,0.7101365238456137,0.4130539506196956,0.5216056203744892,0.8462670629821856,1,Length,Syntactic
0.31,0.7184753529637112,0.41307127592409004,0.5317837295548686,0.8515128572083733,1,Length,Syntactic
0.53,0.7270529561930748,0.4131057382327104,0.5424101400414478,0.856852949349825,1,Length,Syntactic
0.74,0.7350866754175562,0.41315420083013893,0.5525102539660126,0.8618037828826471,1,Length,Syntactic
0.95,0.7429675304917032,0.41321786275303807,0.5625598906179715,0.8666134880033807,1,Length,Syntactic
1.16,0.750693452514742,0.41329671697774967,0.5725511511043646,0.8712841402455476,1,Length,Syntactic
1.37,0.7582627066168769,0.41339075481048604,0.5824763370962769,0.8758179182023422,1,Length,Syntactic
1.58,0.765673883742867,0.413499965892115,0.5923279731401198,0.8802170928596329,1,Length,Syntactic
1.79,0.7729258913958891,0.4136243382038549,0.6020988274461229,0.8844840172821373,1,Length,Syntactic
2,0.7800179434566199,0.4137638580738696,0.6117819310449936,0.8886211166766557,1,Length,Syntactic
2.21,0.7869495491925115,0.41391851018475767,0.621370595221705,0.8926308788518461,1,Length,Syntactic
2.42,0.7937205015710947,0.4140882775819247,0.6308584271538807,0.8965158450898845,1,Length,Syntactic
2.63,0.8003308649889201,0.4142731416828281,0.6402393437009358,0.90027860144147,1,Length,Syntactic
2.85,0.8070841211831302,0.4144829789613662,0.6499460237064123,0.9040923168251283,1,Length,Syntactic
3.06,0.813366935039668,0.414698690580841,0.6590904025862697,0.9076130478299924,1,Length,Syntactic
3.27,0.8194908961665562,0.4149294323400542,0.6681113504835872,0.911019642824366,1,Length,Syntactic
3.48,0.8254570340546685,0.4151751791791205,0.6770041396345317,0.9143147890726778,1,Length,Syntactic
3.69,0.8312665824932667,0.4154359044697385,0.6857643927207225,0.9175011812988794,1,Length,Syntactic
3.9,0.8369209659090922,0.41571158002942893,0.6943880853539942,0.9205815156014294,1,Length,Syntactic
4.11,0.8424217857787717,0.4160021761365421,0.7028715468247084,0.923558483786868,1,Length,Syntactic
4.32,0.8477708071837783,0.41630766154601645,0.7112114591876417,0.9264347681124993,1,Length,Syntactic
4.53,0.8529699455705855,0.4166280035058689,0.7194048547698367,0.9292130364272906,1,Length,Syntactic
4.74,0.8580212537720717,0.4169631677743967,0.727449112193623,0.9318959376988863,1,Length,Syntactic
4.96,0.8631569174871323,0.4173301511646358,0.7357139891322607,0.9346071699761987,1,Length,Syntactic
5.17,0.8679124424603634,0.4176955528588394,0.7434461171683086,0.9371029602665203,1,Length,Syntactic
5.38,0.8725271113342973,0.418075663506984,0.751023191660457,0.9395112994457829,1,Length,Syntactic
5.59,0.8770034074881495,0.41847044302717257,0.7584439254585456,0.9418347218238525,1,Length,Syntactic
5.8,0.8813438917169987,0.4188798499447197,0.7657073387463854,0.9440757256501683,1,Length,Syntactic
6.01,0.8855511916713942,0.41930384141319704,0.7728127483769381,0.9462367706743751,1,Length,Syntactic
6.22,0.8896279917818528,0.4197423732360312,0.7797597565004246,0.9483202759896254,1,Length,Syntactic
6.43,0.8935770236790731,0.4201953998886324,0.7865482385964268,0.9503286181430858,1,Length,Syntactic
6.64,0.8974010571165417,0.42066287454102647,0.793178331017888,0.9522641294983266,1,Length,Syntactic
6.85,0.9011028913984094,0.4211447490809671,0.7996504181508963,0.9541290968344964,1,Length,Syntactic
7.06,0.9046853473120827,0.42164097413750223,0.8059651192894404,0.955925760167481,1,Length,Syntactic
7.28,0.9083134443832811,0.4221761656275147,0.8124126331403684,0.9577371066484499,1,Length,Syntactic
7.49,0.9116603110401362,0.4227016158579029,0.8184079180815248,0.9594006968522065,1,Length,Syntactic
7.7,0.9148964526170523,0.42324125862870843,0.8242490146182001,0.9610025122742626,1,Length,Syntactic
7.91,0.9180247046496162,0.42379503972338334,0.8299373561901692,0.9625445956644525,1,Length,Syntactic
8.12,0.9210478909170958,0.42436290379164215,0.8354745436951535,0.964028939944449,1,Length,Syntactic
8.33,0.923968818263917,0.424944794375228,0.8408623324246457,0.9654574880791812,1,Length,Syntactic
8.54,0.9267902718534711,0.4255406539339511,0.8461026192452435,0.9668321330781556,1,Length,Syntactic
8.75,0.9295150108378889,0.4261504238719754,0.8511974300749803,0.9681547181156744,1,Length,Syntactic
8.96,0.9321457644266498,0.4267740445643263,0.8561489076978794,0.9694270367594816,1,Length,Syntactic
