term,estimate,std.error,statistic,p.value
Intercept,-0.7596995850483692,0.022724138047414747,-33.43139279752782,4.797793580176426e-245
pitch_range,0.011593995684166018,0.02271078479695845,0.5105061664676048,0.6096968955712472
age,0.3499299504345194,0.02275570639844323,15.377679088813473,2.310836171084979e-53
pitch_range:age,0.009599986939025605,0.02274292987208167,0.4221086286164991,0.6729457300984456
