term,estimate,std.error,statistic,p.value
Intercept,-0.585327140741117,0.01398832806612068,-41.84396719710644,0
complexity_ratings,0.26632985941633536,0.014315512832521105,18.60428351622189,2.9663071085377243e-77
age,0.16894395840647325,0.014047136241586048,12.026932429566722,2.5651542248940125e-33
complexity_ratings:age,-0.08044581427528481,0.014141022526963911,-5.688825834333537,1.2791584804967952e-8
