term,estimate,std.error,statistic,p.value
Intercept,-0.2858113376033376,0.013550922206321878,-21.09165215855189,9.488919226896362e-99
num_tokens,0.024228857122520372,0.013636317777771441,1.776788830927351,0.07560299022379631
age,0.04717254214360007,0.013561411588329263,3.478438939512463,5.043433254040068e-4
num_tokens:age,-0.05639698175031968,0.013367865600909695,-4.218847154364106,2.455546608076632e-5
