term,estimate,std.error,statistic,p.value
Intercept,0.33288437904874024,0.07704098231789089,4.320874020987606,1.554123877059502e-5
rate,-0.005819617198379294,0.07760525912129802,-0.07498998475455326,0.9402226804637783
age,-0.1381864237936744,0.0767984083712666,-1.7993396832606177,0.07196496442770034
rate:age,0.2021504207032244,0.13078296636282993,1.5456938034453234,0.12217853448941919
