term,estimate,std.error,statistic,p.value
Intercept,-0.802531071159376,0.014581984776727659,-55.03579131698092,0
verbs,-0.2503840604088701,0.016427523731402792,-15.2417409040315,1.868252687329062e-52
age,0.24680483456818011,0.014569370639640871,16.93997912968626,2.2820559367807603e-64
verbs:age,0.0656492792548349,0.015956911289444608,4.114159567852048,3.885925728937908e-5
