term,estimate,std.error,statistic,p.value
Intercept,0.34451133536461187,0.07789665319141045,4.4226718511007945,9.748775113067664e-6
pitch_mean,-0.07473684814948077,0.07817449049070703,-0.9560260345843263,0.3390590814333028
age,-0.1276690675032109,0.0777497294355394,-1.6420515985082433,0.1005793112144549
pitch_mean:age,0.10174883531647491,0.081473449285404,1.2488588148520092,0.21171671756232915
