word,aoa
wake,27
walk,23
wash,24
watch (action),26
wipe,26
wish,NA
work (action),25
write,27
all gone,19
asleep,25
awake,26
bad,25
better,27
big,22
black,26
blue,23
broken,23
brown,27
careful,26
clean (description),24
cold,21
cute,27
dark,26
dirty,22
dry (description),26
empty,26
fast,26
fine,30
first,28
full,27
gentle,28
good,24
green,24
happy,24
hard,28
heavy,25
high,26
hot,18
hungry,24
hurt,24
last,NA
little (description),25
long,29
loud,26
mad,28
naughty,NA
new,28
nice,25
noisy,28
old,29
orange (description),24
poor,NA
pretty,24
quiet,27
red,24
sad,26
scared,26
sick,26
sleepy,25
slow,28
soft,26
sticky,26
stuck,26
thirsty,26
tiny,30
tired,26
wet,23
white,27
windy,27
yellow,24
yucky,22
after,29
before,NA
day,28
later,28
morning,27
night,24
now,26
time,30
today,29
tomorrow,29
tonight,30
yesterday,NA
he,28
her,29
hers,NA
him,30
his,30
I,24
it,26
me,22
mine,20
my,25
myself,30
our,NA
she,29
that,24
their,NA
them,NA
these,29
they,30
this,25
those,30
us,NA
we,30
you,24
your,29
yourself,NA
how,30
what,24
when,NA
where,25
which,NA
who,28
why,28
about,NA
above,NA
around,30
at,28
away,27
back,26
behind,29
beside,NA
by,29
down,20
for,28
here,25
inside/in,24
into,NA
next to,30
of,NA
off,22
on,22
on top of,29
out,22
over,27
there,25
to,27
under,27
up,19
with,28
a,27
all,26
a lot,29
an,NA
another,28
any,29
each,NA
every,NA
more,20
much,NA
none,NA
not,28
other,29
same,30
some,26
the,27
too,26
am,29
are,29
be,30
can (auxiliary),27
could,NA
did/did ya,28
do,25
does,NA
don't,26
gonna/going to,27
gotta/got to,30
hafta/have to,29
is,28
lemme/let me,26
need/need to,28
try/try to,28
wanna/want to,25
was,NA
were,NA
will,30
would,NA
and,27
because,30
but,NA
if,NA
so,NA
then,NA
