effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),2.023098427583162,0.6073892693629583,3.330810288606229,8.65935953698821e-4
fixed,NA,scale(complexity_wordbank),0.06732346291121397,0.14884481004444405,0.4523064182829864,0.6510482528262056
fixed,NA,scale(age),2.6177343618155136,0.46520785030555883,5.627021040371798,1.8334837096932666e-8
fixed,NA,scale(rarity),-0.17765933325989558,0.14612223265592045,-1.215826845995686,0.2240508898481662
fixed,NA,scale(rate),0.05004421458783405,0.1562836551449562,0.32021400153085133,0.7488061098834649
fixed,NA,scale(pitch_mean),0.04577023820085546,0.15495226122640135,0.2953828349363704,0.7677014443689256
fixed,NA,scale(pitch_range),-0.06548614385172183,0.14293169486875332,-0.4581639076753013,0.646834687889621
fixed,NA,scale(verbs),-0.2922861238087512,0.16656603951629853,-1.7547762116307684,0.07929759410464446
fixed,NA,scale(num_tokens),0.8371699891907034,0.19373616576373592,4.321185907083783,1.5519284711045936e-5
fixed,NA,scale(complexity_wordbank):scale(age),-0.7658076758709267,0.34011968413645666,-2.251582932682259,0.024348640616142576
fixed,NA,scale(age):scale(rarity),-0.5581012191406596,0.32916017177413853,-1.6955308296643332,0.08997476692801128
fixed,NA,scale(age):scale(rate),0.016517792946494532,0.38717538833703496,0.042662300972798,0.965970731657781
fixed,NA,scale(age):scale(pitch_mean),0.35259278879670014,0.372127956616819,0.9475041649713131,0.3433819349255655
fixed,NA,scale(age):scale(pitch_range),-0.156143054276513,0.34050718512452094,-0.45856023337484836,0.646549998963989
fixed,NA,scale(age):scale(verbs),-0.026325910574879405,0.4100073862313671,-0.06420838126077977,0.9488043038868832
fixed,NA,scale(age):scale(num_tokens),1.53605421636483,0.4677315413029324,3.284050958132808,0.0010232641866501073
