pair,term,estimate,std.error,statistic,p.value,p.adjusted
doggy_dog,(age),0.9062942520124198,0.03067881066600822,29.541375051301568,8.475605551465359e-192,1.1018287216904966e-190
kitty_cat,(age),0.9567175266915859,0.027616348877110855,34.64315760743225,5.66310235823785e-263,7.92834330153299e-262
tummy_stomach,(age),1.3186986130555167,0.08687465502189286,15.179324887370177,4.8474520976116626e-52,5.332197307372829e-51
daddy_dad,(age),0.7286811855199252,0.02600055400497829,28.02560227679786,7.923639504663547e-173,9.508367405596257e-172
mommy_mom,(age),0.7972023703529546,0.018107074713721204,44.02712105389666,0,0
bunny_rabbit,(age),0.38585090182607895,0.03187292384089569,12.105914843337944,9.826764631456049e-34,7.861411705164839e-33
duckie_duck,(age),0.43910971433925067,0.052601083697283633,8.347921439533511,6.947475874143883e-17,2.778990349657553e-16
blankie_blanket,(age),0.8025726249370831,0.09564050792765823,8.391555443684418,4.797519912598849e-17,2.3987599562994246e-16
froggy_frog,(age),0.8465969548668575,0.07212481881890358,11.737942205339285,8.14440120003128e-32,5.701080840021896e-31
potty_bathroom,(age),0.16931492196961823,0.0647342355191842,2.6155390669507668,0.008908672927701295,0.01781734585540259
night night_goodnight,(age),0.46771164020344097,0.10010087944483684,4.672402907920359,2.97696253814118e-6,8.93088761442354e-6
dolly_doll,(age),0.07064513703670333,0.03622082756252857,1.9504009651559604,0.05112834692184695,0.05112834692184695
horsey_horse,(age),0.5830066885424602,0.04198466473117149,13.886181830329283,7.682270567117472e-44,6.914043510405725e-43
piggy_pig,(age),0.5786620145435108,0.0405296427030245,14.277501007930884,3.022467600929059e-46,3.022467600929059e-45
birdie_bird,(age),0.6276150723956174,0.05403056540207567,11.615926424703055,3.4206046567982984e-31,2.052362794078979e-30
