Predictor,Estimate,SE,z,p
(Intercept),0.8576631201666648,0.40977719973047827,2.0929986361631965,0.03634927630228408
MLUw_scaled,0.1928722285797261,0.011971011383320311,16.11160681448041,2.114569258695796e-58
age_scaled,0.6778849219770323,0.021419822898151385,31.647550271554135,8.195238466024393e-220
MLUw_scaled:age_scaled,-0.15884804272096936,0.010797630506810875,-14.711379743988461,5.4485065430211905e-49
