Predictor,Estimate,SE,z,p
(Intercept),0.6589911656135625,0.43914038151078527,1.5006389604764183,0.1334489685916921
speech_rate_scaled,0.08980048665554267,0.01835063599991961,4.893589881894887,9.901306269322055e-7
age_scaled,0.48608818677787413,0.02665538931688447,18.23601902786573,2.6722666992150984e-74
speech_rate_scaled:age_scaled,-0.07945167472483472,0.018611317869229895,-4.2689977831280945,1.96353220175741e-5
