Predictor,Estimate,SE,z,p
(Intercept),0.8547565216374379,0.40655819661816417,2.102421077099123,0.03551640647381973
verbs_scaled,0.05167812361719466,0.011638307905242158,4.440346830308353,8.981401096111796e-6
age_scaled,0.6884597892407184,0.021421613962428927,32.13855830135855,1.2762836911065104e-226
verbs_scaled:age_scaled,-0.08408045553109805,0.010920315561415692,-7.699452919490359,1.3665000706864279e-14
