Predictor,Estimate,SE,z,p
(Intercept),0.9635158984988064,0.5312459545877565,1.8136907964720195,0.06972534281194291
complexity,0.40948302760718575,0.14606889829773573,2.803355350654639,0.005057391271346902
age_scaled,3.345616577614876,0.44071229347112095,7.591384735978798,3.165046448213876e-14
complexity:age_scaled,-0.3175736203463893,0.3786328463569266,-0.8387376409679511,0.40161655081208336
