Predictor,Estimate,SE,z,p
(Intercept),0.8209290544954727,0.43115649764932595,1.904016427842778,0.056908044703090105
freq_scaled,0.17753270905759178,0.11674295204811912,1.520714577993679,0.12833147878375345
age_scaled,0.5663951701886812,0.10257258491012411,5.521896232652873,3.3536053591527137e-8
freq_scaled:age_scaled,0.11536212383012442,0.031502038405543005,3.662052669259195,2.502024011190915e-4
