effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,Intercept,0.11169652145239137,0.37545674729779527,0.2974950437201725,0.766088591349749
fixed,NA,pitch_range,-0.042989020680545484,0.01885865886900884,-2.2795375312287445,0.022635131580817272
fixed,NA,age,0.7637211887446026,0.028223092627293268,27.060152437229455,2.9010141459330877e-161
fixed,NA,pitch_range:age,-0.01234796075621895,0.020119351325323383,-0.6137355303636003,0.5393901054987931
