pair,overall,younger,older
doggy_dog,0.72,0.63,0.66
kitty_cat,0.88,0.81,0.85
tummy_stomach,0.88,0.72,0.87
daddy_dad,0.77,0.64,0.79
mommy_mom,0.76,0.74,0.78
bunny_rabbit,0.83,0.76,0.85
duckie_duck,0.61,0.66,0.47
blankie_blanket,0.77,0.63,0.66
froggy_frog,0.71,0.61,0.59
potty_bathroom,0.66,0.69,0.66
nightnight_goodnight,0.34,0.38,0.38
dolly_doll,0.62,0.44,0.64
horsey_horse,0.24,NA,0.23
piggy_pig,0.6,0.61,0.6
birdie_bird,0.69,0.66,0.71
