id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range,subset,filename
17605608,bird that bird went to eat that bird went to to get a feeder and put some seeds in it,bird that bird go to eat that bird go to to get a feed and put some seed in it,bɜ˞r dæt bɜ˞rd wɛn tu it ðæt bɜ˞rd wɛŋdə tu tu ɡɛt ə fidə æ̃n pʊt sʌm sidz ɪn ɪt,bʌɹd ðæt bʌɹd wɛnt tuː iːt ðæt bʌɹd wɛnt tuː tuː ɡɛt ə fiːdəɹ ænd pʊt sʌm siːdz ɪn ɪt,declarative,eng,26,20,603,Providence,n det:dem n v inf v comp n v prep inf v det:art n coord v qn n prep pro:per,CHI,Naima,Target_Child,28.8876568307357,female,1799.345,1808.185,s,Eng-NA,21,336,23510,23510,43447,29,bird,ADL,birdie_bird,1,child,Naima,020427,308.960135891189,77.3479281444965,474.483033282756,-397.135105138259,child-ADL,child-bird7
17390315,yyy bird yyy bird,bird bird,ʌdə bɜ˞d ɜ˞dbə bʊ,* bʌɹd * bʌɹd,declarative,eng,2,4,40,Providence,n n,CHI,Ethan,Target_Child,35.0335735846732,male,98.813,102.125,s,Eng-NA,21,336,23487,23487,43310,35,bird,ADL,birdie_bird,1,child,Ethan,021101,375.806072976801,227.53938197074,528.16161461648,-300.62223264574,child-ADL,child-bird8
17597058,two little black birds sittin' on a hill,two little black bird sit on a hill,tu lɪl blæ bɜ˞d sɪtɪn ɑn eɪ (.) hɪl,tuː lɪtəl blæk bʌɹdz sɪtən ɑn ə (.) hɪl,declarative,eng,10,8,1090,Providence,det:num adj adj n part prep det:art n,CHI,Naima,Target_Child,31.4277500564693,female,2905.76,2911.6,s,Eng-NA,21,336,23510,23510,43458,31,bird,ADL,birdie_bird,1,child,Naima,020713,278.893649849179,108.370688245744,502.437108518477,-394.066420272733,child-ADL,child-bird9
17537547,the bird,the bird,ðʌ bʌd,ðə bʌɹd,declarative,eng,2,2,1320,Providence,det:art n,CHI,Naima,Target_Child,19.3289389925871,female,3821.05,3822.991,s,Eng-NA,21,336,23510,23510,43412,19,bird,ADL,birdie_bird,1,child,Naima,010710,253.842926173402,122.222997516696,389.282544361702,-267.059546845006,child-ADL,child-bird10
17459597,even the kid bird family got lost,even the kid bird family get lose,ivɪnː ðə kɪd bɜ˞rd fæmli ɡɑt lɑst,iːvən ðə kɪd bʌɹd fæməliː ɡɑt lɑst,declarative,eng,9,7,642,Providence,adv det:art n n n aux part,CHI,Lily,Target_Child,31.0006365633791,female,1718.757,1723.508,s,Eng-NA,21,336,23495,23495,43358,31,bird,ADL,birdie_bird,1,child,Lily,020700,307.438311146718,123.433456183265,468.22992952094,-344.796473337675,child-ADL,child-bird11
2343367,peanuts catch bird,Peanuts catch bird,NA,NA,declarative,eng,3,3,253,Braunwald,n:prop v n,CHI,Laura,Target_Child,26.6904864576275,female,541.914,543.807,s,Eng-NA,2,70,3901,3901,8633,27,bird,ADL,birdie_bird,1,child,Laura,020221,352.990053414944,331.46212500496,386.915584471938,-55.4534594669776,child-ADL,child-bird12
17610920,yyy see any blue birds,see any blue bird,kʊmɪ θi ɛnɪ blu bɜ˞ːtʰ,* siː ɛniː bluː bʌɹdz,question,eng,5,5,1225,Providence,v qn n n,CHI,Naima,Target_Child,34.0335530503706,female,3195.045,3206.6,s,Eng-NA,21,336,23510,23510,43465,34,bird,ADL,birdie_bird,1,child,Naima,021001,419.28507666893,92.3328213955551,500.713515443509,-408.380694047954,child-ADL,child-bird13
17546041,red bird,red bird,wɛd bʌːd,ɹɛd bʌɹd,declarative,eng,2,2,540,Providence,adj n,CHI,Naima,Target_Child,22.1647261750755,female,2162.19,2164.065,s,Eng-NA,21,336,23510,23510,43422,22,bird,ADL,birdie_bird,1,child,Naima,011005,262.379786430695,104.441344687079,368.506225946511,-264.064881259432,child-ADL,child-bird14
17543416,birds nurse,bird nurse,bɑdz nʌs,bʌɹdz nʌɹs,declarative,eng,3,2,331,Providence,n n,CHI,Naima,Target_Child,22.5918396681657,female,1017.47,1020.14,s,Eng-NA,21,336,23510,23510,43425,23,bird,ADL,birdie_bird,1,child,Naima,011018,302.299647637866,102.77388569903,434.928897735694,-332.155012036663,child-ADL,child-bird15
17513427,bird,bird,m̩bɜ˞di,bʌɹd,declarative,eng,1,1,194,Providence,n,CHI,Naima,Target_Child,17.3617528080659,female,504.575,506.653,s,Eng-NA,21,336,23510,23510,43405,17,bird,ADL,birdie_bird,1,child,Naima,010511,253.74841780037,127.010293593542,420.475830369048,-293.465536775506,child-ADL,child-bird16
17332499,big bird,Big Bird,bi bʌb,bɪɡ bʌɹd,declarative,eng,2,2,314,Providence,n:prop n:prop,CHI,Ethan,Target_Child,16.0003285488408,male,1091.053,1092.998,s,Eng-NA,21,336,23487,23487,43270,16,bird,ADL,birdie_bird,1,child,Ethan,010400,349.193643507196,267.155552552544,412.975959785697,-145.820407233153,child-ADL,child-bird17
17498494,like a bird,like a bird,laɪː ɡə bɜ˞rd,laɪk ə bʌɹd,declarative,eng,3,3,1085,Providence,prep det:art n,CHI,Lily,Target_Child,36.0993038871435,female,2812.005,2813.968,s,Eng-NA,21,336,23495,23495,43374,36,bird,ADL,birdie_bird,1,child,Lily,030003,282.315836033653,77.1608152153804,524.85056464436,-447.68974942898,child-ADL,child-bird18
17520337,bird,bird,bʌː,bʌɹd,declarative,eng,1,1,955,Providence,n,CHI,Naima,Target_Child,12.854473397811,female,3497.831,3499.585,s,Eng-NA,21,336,23510,23510,43393,13,bird,ADL,birdie_bird,1,child,Naima,010026,292.139235409088,206.220910532523,361.338357697122,-155.117447164599,child-ADL,child-bird19
791911,little bird,Little Bird,NA,NA,declarative,eng,2,2,278,Peters,n:prop n:prop,CHI,Seth,Target_Child,23.4604406661328,male,997.96,1000.811,s,Eng-NA,2,43,2341,2341,4228,23,bird,ADL,birdie_bird,1,child,Seth,011114a,293.388006212312,212.836992306191,491.755774231291,-278.9187819251,child-ADL,child-bird20
17349663,a funny bird,a fun bird,ʌf ʌni bɑ,ə fʌniː bʌɹd,declarative,eng,5,3,316,Providence,det:art adj n,CHI,Ethan,Target_Child,21.131850756689,male,1025.423,1030.165,s,Eng-NA,21,336,23487,23487,43282,21,bird,ADL,birdie_bird,1,child,Ethan,010904,235.922724033512,75.4634261718161,506.881642092495,-431.418215920679,child-ADL,child-bird21
17557775,people just be birds,person just be bird,pəl jʌst bi əbədz,piːpəl ʤʌst biː bʌɹdz,declarative,eng,6,4,255,Providence,n adj aux n,CHI,Naima,Target_Child,27.1976837306721,female,1377.211,1379.343,s,Eng-NA,21,336,23510,23510,43441,27,bird,ADL,birdie_bird,1,child,Naima,020306,293.694891589747,213.628672339662,394.398185651545,-180.769513311883,child-ADL,child-bird22
17594289,i'm a bird who likes water,I a bird who like water,hʌm ə bɜ˞d hu laɪks wɑjʌ,aɪm ə bʌɹd huː laɪks wɑtəɹ,declarative,eng,8,6,1135,Providence,pro:sub det:art n pro:rel v n,CHI,Naima,Target_Child,29.6248382923674,female,3099.83,3107.915,s,Eng-NA,21,336,23510,23510,43453,30,bird,ADL,birdie_bird,1,child,Naima,020519,265.086860483688,82.5115774741437,499.960003799926,-417.448426325782,child-ADL,child-bird23
17567366,chirping birds,chirp bird,tʃeɪɜ˞piŋ bəwʌdz,ʧʌɹpɪŋ bʌɹdz,declarative,eng,4,2,905,Providence,part n,CHI,Naima,Target_Child,26.3619376167888,female,2984.726,2986.5,s,Eng-NA,21,336,23510,23510,43439,26,bird,ADL,birdie_bird,1,child,Naima,020211,295.45425473364,205.839998334843,493.166414513607,-287.326416178763,child-ADL,child-bird24
17553441,the bird,the bird,də bʊæd,ðə bʌɹd,declarative,eng,2,2,385,Providence,det:art n,CHI,Naima,Target_Child,23.8546992751391,female,1103.863,1105.18,s,Eng-NA,21,336,23510,23510,43430,24,bird,ADL,birdie_bird,1,child,Naima,011126,349.868410641335,259.958519503325,496.815387453573,-236.856867950248,child-ADL,child-bird25
17433368,yyy a bird,a bird,dɛdɛ ɑ buɪd,* ə bʌɹd,declarative,eng,2,3,1164,Providence,det:art n,CHI,Lily,Target_Child,23.8546992751391,female,2330.558,2332.322,s,Eng-NA,21,336,23495,23495,43333,24,bird,ADL,birdie_bird,1,child,Lily,011126,356.100579445027,202.175941767152,452.030025713881,-249.854083946729,child-ADL,child-bird26
17499488,i yyy some bird food,I some bird food,aɪ dowɪnt səm bɜ˞rd fud,aɪ * sʌm bʌɹd fuːd,declarative,eng,4,5,1155,Providence,pro:sub qn n n,CHI,Lily,Target_Child,36.0993038871435,female,3041.887,3045.028,s,Eng-NA,21,336,23495,23495,43374,36,bird,ADL,birdie_bird,1,child,Lily,030003,265.459302147577,78.4648202264085,499.085793694108,-420.620973467699,child-ADL,child-bird27
17582089,yyy birds yet yyy,bird yet,mʌmiɪtstaɪmtʊfiddʌ bʊdz jɛt mɑmtɪu,* bʌɹdz jɛt *,declarative,eng,3,4,753,Providence,n adv,CHI,Naima,Target_Child,30.3620197539991,female,2676.95,2682.125,s,Eng-NA,21,336,23510,23510,43455,30,bird,ADL,birdie_bird,1,child,Naima,020611,306.053200837446,170.845062677688,478.64130168648,-307.796239008792,child-ADL,child-bird28
17603146,bird here,bird here,bɜ˞d hiə,bʌɹd hɪɹ,declarative,eng,2,2,199,Providence,n adv,CHI,Naima,Target_Child,38.6250231010904,female,571.738,573.49,s,Eng-NA,21,336,23510,23510,43474,39,bird,ADL,birdie_bird,1,child,Naima,030219,234.433892285444,196.606231349389,271.037833457035,-74.431602107646,child-ADL,child-bird29
2550093,there's a bird on but not a big_bird puppet there there's,there a bird on but not a Big_Bird puppet there there,NA,NA,declarative,eng,13,11,917,Weist,pro:exist det:art n adv conj neg det:art n:prop n adv pro:exist,CHI,Emma,Target_Child,44.2308876978993,female,2684.98,2692.378,s,Eng-NA,2,74,3980,3980,9828,44,bird,ADL,birdie_bird,1,child,Emma,030807,305.536456961208,76.2935428614469,537.575790334897,-461.28224747345,child-ADL,child-bird30
813856,hiya bird,hiya Bird,NA,NA,question,eng,2,2,919,Peters,co n:prop,CHI,Seth,Target_Child,24.7890100412739,male,1784.456,1785.404,s,Eng-NA,2,43,2341,2341,4241,25,bird,ADL,birdie_bird,1,child,Seth,020024b,305.364268110573,119.150627707901,420.230420914851,-301.079793206951,child-ADL,child-bird31
17673561,that bird is called so that's,that bird be call so that,ðæʔ bɜ˞rd ɪz kɔd so ðætʰ,ðæt bʌɹd ɪz kɑld soʊ ðæts,trail off,eng,9,6,322,Providence,det:dem n aux part conj pro:dem,CHI,Violet,Target_Child,43.7236904248547,female,786.868,789.405,s,Eng-NA,21,336,23522,23522,43526,44,bird,ADL,birdie_bird,1,child,Violet,030722,199.190245313045,72.4061069959398,368.982201827482,-296.576094831542,child-ADL,child-bird32
17488740,bird,bird,bʊːd,bʌɹd,declarative,eng,1,1,958,Providence,n,CHI,Lily,Target_Child,31.033491447463,female,2742.436,2743.691,s,Eng-NA,21,336,23495,23495,43359,31,bird,ADL,birdie_bird,1,child,Lily,020701,325.287053924097,214.728816583353,428.595351637045,-213.866535053692,child-ADL,child-bird33
17332485,big bird yyy,Big Bird,bi bo keɪ,bɪɡ bʌɹd *,declarative,eng,2,3,312,Providence,n:prop n:prop,CHI,Ethan,Target_Child,16.0003285488408,male,1083.3,1087.39,s,Eng-NA,21,336,23487,23487,43270,16,bird,ADL,birdie_bird,1,child,Ethan,010400,294.971680677598,97.7779047458549,416.463549560136,-318.685644814281,child-ADL,child-bird34
17343538,big bird,Big Bird,bɪ bʌ,bɪɡ bʌɹd,declarative,eng,2,2,1031,Providence,n:prop n:prop,CHI,Ethan,Target_Child,15.4931312757962,male,2470.901,2473.111,s,Eng-NA,21,336,23487,23487,43269,15,bird,ADL,birdie_bird,1,child,Ethan,010315,344.583324631111,87.7704820267775,522.378143011514,-434.607660984737,child-ADL,child-bird35
17553234,mm breathed little bird,mm breathe little bird,m̩ bi lɪtə bʌd,m̩ː bɹiːðd lɪtəl bʌɹd,declarative,eng,5,4,1194,Providence,co v adj n,CHI,Naima,Target_Child,20.6903632518122,female,3308.161,3314.665,s,Eng-NA,21,336,23510,23510,43417,21,bird,ADL,birdie_bird,1,child,Naima,010821,212.526304063768,146.98077113505,320.013907768015,-173.033136632965,child-ADL,child-bird36
17558068,you saw birds and some doves,you saw bird and some dove,ju sɑ bɜdz æn siz dəvz,juː sɑ bʌɹdz ænd sʌm dʌvz,declarative,eng,8,6,50,Providence,pro:per v n coord qn n,CHI,Naima,Target_Child,25.7890305755765,female,159.275,163.375,s,Eng-NA,21,336,23510,23510,43437,26,bird,ADL,birdie_bird,1,child,Naima,020124,338.949481555574,271.315213400012,515.10703659652,-243.791823196508,child-ADL,child-bird37
17596584,yyy about that's about a bird,about that about a bird,idə əbaʊ ɛs əbaʊd ə bɜ˞d,* əbaʊt ðæts əbaʊt ə bʌɹd,declarative,eng,6,6,40,Providence,adv pro:rel prep det:art n,CHI,Naima,Target_Child,28.8876568307357,female,147.86,154.315,s,Eng-NA,21,336,23510,23510,43447,29,bird,ADL,birdie_bird,1,child,Naima,020427,268.386977800847,121.752728105723,406.421156443249,-284.668428337527,child-ADL,child-bird38
17511280,bird,bird,bʊdæ,bʌɹd,declarative,eng,1,1,633,Providence,n,CHI,Naima,Target_Child,15.3945666235446,female,1891.953,1893.381,s,Eng-NA,21,336,23510,23510,43398,15,bird,ADL,birdie_bird,1,child,Naima,010312,200.764592081586,105.600724063613,391.047533039185,-285.446808975572,child-ADL,child-bird39
17592447,and a bird a picture xxx bird,and a bird a picture bird,ɪn ə bɜ˞ ɪ pɪdo * bɜ˞ːt,ænd ə bʌɹd ə pɪkʧəɹ * bʌɹd,interruption,eng,6,7,527,Providence,coord det:art n det:art n n,CHI,Naima,Target_Child,33.5592106614099,female,1612.721,1616.451,s,Eng-NA,21,336,23510,23510,43463,34,bird,ADL,birdie_bird,1,child,Naima,020917,248.341558465015,84.4300095767596,459.867952403781,-375.437942827021,child-ADL,child-bird40
749967,morning a bird,morning a Bird,NA,NA,declarative,eng,3,3,432,Peters,co phon n:prop,CHI,Seth,Target_Child,21.5261093656954,male,980.056,989.511,s,Eng-NA,2,43,2341,2341,4211,22,bird,ADL,birdie_bird,1,child,Seth,010916b,328.465896195203,174.001273482238,376.058426449467,-202.05715296723,child-ADL,child-bird41
17526011,xxx bird goes in there,bird go in there,* bʊd ɡoz ɪŋ dʒɛ,* bʌɹd ɡoʊz ɪn ðɛɹ,declarative,eng,5,5,495,Providence,n v prep n,CHI,Naima,Target_Child,19.5589231811742,female,2232.36,2236.635,s,Eng-NA,21,336,23510,23510,43411,20,bird,ADL,birdie_bird,1,child,Naima,010717,218.241629516968,100.711863550695,405.614972490643,-304.903108939948,child-ADL,child-bird42
2543664,um i anster to that bird,I answer to that bird,NA,NA,declarative,eng,5,6,272,Weist,pro:sub v prep det:dem n,CHI,Jillian,Target_Child,27.8219265282655,female,708.479,713.266,s,Eng-NA,2,74,3986,3986,9846,28,bird,ADL,birdie_bird,1,child,Jillian,020325,242.674480842159,98.5765342239154,348.347549950888,-249.771015726973,child-ADL,child-bird43
17382212,xxx like a baby bird,like a baby bird,* laɪk ə beɪbi bʊd,* laɪk ə beɪbiː bʌɹd,question,eng,4,5,908,Providence,prep det:art n n,CHI,Ethan,Target_Child,30.3620197539991,male,2564.696,2567.13,s,Eng-NA,21,336,23487,23487,43299,30,bird,ADL,birdie_bird,1,child,Ethan,020611,332.204173437553,106.465886160183,491.487972227336,-385.022086067153,child-ADL,child-bird44
17343457,big bird,Big Bird,pi pʊt,bɪɡ bʌɹd,declarative,eng,2,2,950,Providence,n:prop n:prop,CHI,Ethan,Target_Child,15.4931312757962,male,2223.925,2225.776,s,Eng-NA,21,336,23487,23487,43269,15,bird,ADL,birdie_bird,1,child,Ethan,010315,343.741526417528,181.442456566093,517.238946752205,-335.796490186112,child-ADL,child-bird45
17659224,xxx a book on a bird,a book on a bird,* ə bʊk ɑ nə bʌːt,* ə bʊk ɑn ə bʌɹd,declarative,eng,5,6,942,Providence,det:art n prep det:art n,CHI,Violet,Target_Child,40.7893385901148,female,2533.743,2537.036,s,Eng-NA,21,336,23522,23522,43523,41,bird,ADL,birdie_bird,1,child,Violet,030424,215.978614372287,90.7772642419974,394.687660168125,-303.910395926128,child-ADL,child-bird46
17555668,i think sally was a red bird red bird,I think Sally be a red bird red bird,aɪ sɪnk sæli wʌz ə wɛd bəd wɛd bəd,aɪ θɪŋk sæliː wɑz ə ɹɛd bʌɹd ɹɛd bʌɹd,declarative,eng,11,9,107,Providence,pro:sub v n:prop cop det:art adj n adj n,CHI,Naima,Target_Child,27.1976837306721,female,995.021,998.511,s,Eng-NA,21,336,23510,23510,43441,27,bird,ADL,birdie_bird,1,child,Naima,020306,382.939922188246,264.245548936354,495.010539785275,-230.764990848921,child-ADL,child-bird47
750210,hard to wake up bird,hard to wake up Bird,NA,NA,question,eng,5,5,444,Peters,adv inf v adv n:prop,CHI,Seth,Target_Child,21.5261093656954,male,1019.149,1024.738,s,Eng-NA,2,43,2341,2341,4211,22,bird,ADL,birdie_bird,1,child,Seth,010916b,354.582179118202,226.210566542449,507.76848423213,-281.557917689682,child-ADL,child-bird48
2326137,bird,bird,NA,NA,declarative,eng,1,1,137,Braunwald,n,CHI,Laura,Target_Child,20.7889279040637,female,418.855,420.166,s,Eng-NA,2,70,3901,3901,8585,21,bird,ADL,birdie_bird,1,child,Laura,010824,344.211965328573,88.6831073048827,384.447306101532,-295.76419879665,child-ADL,child-bird49
17511031,they're kind of different birds,they kind of different bird,dɛɜ˞ kaɪ əv dɪfə bɜ˞dz,ðeɪɹ kaɪnd ʌv dɪfəɹənt bʌɹdz,declarative,eng,7,5,1457,Providence,pro:sub n prep adj n,CHI,Lily,Target_Child,35.1978480050925,female,3190.503,3195.525,s,Eng-NA,21,336,23495,23495,43373,35,bird,ADL,birdie_bird,1,child,Lily,021106,248.082432688463,78.2137225179523,394.18939963971,-315.975677121758,child-ADL,child-bird50
17539391,cardinal birds,cardinal bird,cʌdɪnə bʌds,kɑɹdənəl bʌɹdz,declarative,eng,3,2,1430,Providence,adj n,CHI,Naima,Target_Child,19.3289389925871,female,4101.543,4103.258,s,Eng-NA,21,336,23510,23510,43412,19,bird,ADL,birdie_bird,1,child,Naima,010710,270.785930046237,225.674667181809,314.808076586865,-89.1334094050561,child-ADL,child-bird51
721784,bird,bird,NA,NA,declarative,eng haw,1,1,188,Peters,n,CHI,Seth,Target_Child,20.5589437154767,male,953.308,954.915,s,Eng-NA,2,43,2341,2341,4202,21,bird,ADL,birdie_bird,1,child,Seth,010817,241.450552809414,125.969839740334,425.04046846628,-299.070628725947,child-ADL,child-bird52
2342882,yesterday pwww catch bird,yesterday Pwww catch bird,NA,NA,question,eng,4,4,82,Braunwald,adv:tem n:prop v n,CHI,Laura,Target_Child,27.0005544261689,female,166.485,168.668,s,Eng-NA,2,70,3901,3901,8641,27,bird,ADL,birdie_bird,1,child,Laura,020300b,378.811907912115,76.9228362915429,466.365854309195,-389.443018017652,child-ADL,child-bird53
17557659,bird pot a bird pot,bird pot a bird pot,bʌd pɑd ə bə pə,bʌɹd pɑt ə bʌɹd pɑt,declarative,eng,5,5,247,Providence,n n det:art n n,CHI,Naima,Target_Child,27.1976837306721,female,1355.465,1360.893,s,Eng-NA,21,336,23510,23510,43441,27,bird,ADL,birdie_bird,1,child,Naima,020306,301.515081005541,125.025290324811,526.954720046143,-401.929429721332,child-ADL,child-bird54
782681,n do birds,n do bird,NA,NA,question,eng,4,3,595,Peters,phon v n,CHI,Seth,Target_Child,22.3618554795786,male,1858.087,1859.824,s,Eng-NA,2,43,2341,2341,4219,22,bird,ADL,birdie_bird,1,child,Seth,011011b,337.986801763724,201.852822291883,494.669995845538,-292.817173553655,child-ADL,child-bird55
1981904,i want my big bird,I want my Big Bird,NA,NA,declarative,eng,5,5,54,MacWhinney,pro:sub v det:poss n:prop n:prop,CHI,Ross,Target_Child,33.7563399659131,male,145.242,148.109,s,Eng-NA,2,62,3391,3391,7570,34,bird,ADL,birdie_bird,1,child,Ross,020923,157.760265657524,75.2505186788143,266.766180235614,-191.5156615568,child-ADL,child-bird56
2461714,oh birds,oh bird,NA,NA,declarative,eng,3,2,61,Sachs,co n,CHI,Naomi,Target_Child,40.000821372102095,female,180.664,182.914,s,Eng-NA,2,72,3936,3936,9590,40,bird,ADL,birdie_bird,1,child,Naomi,030400,129.428991029819,98.4822906837901,289.549445726152,-191.067155042361,child-ADL,child-bird57
