id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range,subset,filename
2433069,birdie,bird,NA,NA,declarative,eng,2,1,455,Sachs,n,FAT,NA,Father,18.5260477627877,female,1936.967,1938.117,s,Eng-NA,2,72,3938,3936,9508,19,birdie,CDL,birdie_bird,0,other,Naomi,010616,159.751068381355,104.460647924696,231.423447796144,-126.962799871449,other-CDL,other-birdie1
943662,can chi make the birdie sing,can Chi make the bird sing,NA,NA,question,eng,7,6,633,Rollins,mod n:prop v det:art n v,MOT,NA,Mother,12.0002464116306,NA,1319.616,1321.11,s,Eng-NA,2,47,2532,2530,4650,12,birdie,CDL,birdie_bird,0,other,NB,nb12,290.561773293094,78.5641252162354,507.593884791114,-429.029759574879,other-CDL,other-birdie2
923016,watch the birdie roll,watch the bird roll,NA,NA,declarative,eng,5,4,6,Rollins,v det:art n n,MOT,NA,Mother,9.00018480872297,NA,198.966,200.31,s,Eng-NA,2,47,2532,2530,4641,9,birdie,CDL,birdie_bird,0,other,ME,me09,267.154978047107,141.941317417181,469.460119496102,-327.518802078921,other-CDL,other-birdie3
2427117,hi birdie,hi bird,NA,NA,declarative,eng,3,2,237,Soderstrom,co n,MOT,NA,Mother,8.16443869483973,male,826.058,827.386,s,Eng-NA,2,71,3928,3921,9485,8,birdie,CDL,birdie_bird,0,other,Theo,000805b,247.946275966499,171.682005676769,467.257353439777,-295.575347763008,other-CDL,other-birdie4
17554333,take me home little birdy take me home,take me home little bird take me home,NA,NA,declarative,eng,10,8,113,Providence,v pro:obj adv adj adj v pro:obj adv,MOT,NA,Mother,23.2304564775457,female,376.445,382.745,s,Eng-NA,21,336,23511,23510,43427,23,birdie,CDL,birdie_bird,0,other,Naima,011107,254.470092000256,75.3726837680035,457.842087025632,-382.469403257628,other-CDL,other-birdie5
942093,what's a birdie,what a bird,NA,NA,trail off,eng,5,3,84,Rollins,pro:int det:art n,MOT,NA,Mother,12.0002464116306,NA,215.563,220.576,s,Eng-NA,2,47,2532,2530,4650,12,birdie,CDL,birdie_bird,0,other,NB,nb12,338.473904977905,119.469085807161,497.300074925285,-377.830989118124,other-CDL,other-birdie6
360908,butterflies any birdies in here huh,any bird in here huh,NA,NA,question,eng,7,6,127,Bernstein,qn n prep n co,MOT,NA,Mother,17.0003490831434,female,599.652,606.061,s,Eng-NA,2,36,1725,1724,3729,17,birdie,CDL,birdie_bird,0,other,Dale,010500,286.302690742915,201.710448346125,496.870234279463,-295.159785933338,other-CDL,other-birdie7
358987,it's a birdie,it a bird,NA,NA,declarative,eng,5,3,16,Bernstein,pro:per det:art n,MOT,NA,Mother,17.0003490831434,female,41.898,47.308,s,Eng-NA,2,36,1725,1724,3729,17,birdie,CDL,birdie_bird,0,other,Dale,010500,294.858905155657,214.22845936984,497.599873686014,-283.371414316174,other-CDL,other-birdie8
2553712,don't worry about it little birdie,do worry about it little bird,NA,NA,declarative,eng,8,6,352,Weist,mod v prep pro:per adj n,MOT,NA,Mother,33.526355777326,female,1196.056,1199.697,s,Eng-NA,2,74,3989,3986,9858,34,birdie,CDL,birdie_bird,0,other,Jillian,020916,227.140675328885,176.518075010338,292.435525561776,-115.917450551438,other-CDL,other-birdie9
942328,birdie goes tweet tweet,bird go tweet tweet,NA,NA,declarative,eng,6,4,104,Rollins,n v v v,MOT,NA,Mother,12.0002464116306,NA,249.561,250.74,s,Eng-NA,2,47,2532,2530,4650,12,birdie,CDL,birdie_bird,0,other,NB,nb12,375.047314266349,219.922260050271,527.741001163171,-307.8187411129,other-CDL,other-birdie10
935619,birdie,bird,NA,NA,declarative,eng,2,1,515,Rollins,n,MOT,NA,Mother,12.0002464116306,NA,859.131,862.613,s,Eng-NA,2,47,2532,2530,4697,12,birdie,CDL,birdie_bird,0,other,TT,tt12,373.15748423371,106.77155870753,497.860710807526,-391.089152099996,other-CDL,other-birdie11
