word,aoa
a,27
a lot,29
after,29
airplane,20
all,26
all gone,19
alligator,25
am,29
and,27
animal,24
ankle,30
another,28
ant,25
any,29
apple,18
applesauce,25
are,29
arm,22
around,30
asleep,25
at,28
aunt,26
awake,26
away,27
babysitter's name,25
back,26
bad,25
balloon,17
basket,25
bat,26
bath,18
bathroom,24
bathtub,22
be,30
beach,27
beads,29
beans,25
bear,19
because,30
bed,21
bedroom,25
bee,21
behind,29
belly button,20
belt,26
bench,30
better,27
bib,24
bicycle,22
big,22
bird,17
bite,22
black,26
blanket,21
block,21
blow,24
blue,23
boat,21
boots,23
bottle,19
bowl,23
box,22
boy,23
bread,22
break,25
breakfast,24
bring,27
broken,23
broom,24
brother,27
brown,27
brush,22
bubbles,18
bucket,26
bug,21
build,27
bump,26
bunny,21
bus,21
butt,22
butter,24
butterfly,23
button,22
buy,27
by,29
cake,22
call on phone,24
camera,25
can,27
candy,23
car,17
careful,26
carrots,24
carry,25
cat,18
catch,25
cereal,22
chair,21
chalk,27
chase,28
cheek,23
cheerios,24
cheese,18
chicken,23
child's own name,20
chin,24
chips,24
chocolate,25
choo choo,19
church,27
circus,30
clap,24
clean,24
climb,26
clock,23
close,24
closet,26
cloud,25
clown,27
coat,23
cockadoodledoo,25
coffee,25
coke,28
cold,21
comb,25
cook,25
cookie,18
corn,24
couch,24
cover,28
cow,20
cowboy,30
cracker,19
crayon,23
crib,26
cry,23
cup,20
cut,26
cute,27
dance,23
dark,26
day,28
deer,26
diaper,19
did,28
dinner,24
dirty,22
dish,27
do,25
doctor,25
doll,22
don't,26
donkey,28
donut,26
door,20
down,20
draw,25
drawer,27
dress,25
drink,21
drive,25
drop,26
dry,26
dryer,28
duck,17
dump,29
ear,18
eat,20
egg,22
elephant,23
empty,26
eye,17
face,24
fall,23
farm,28
fast,26
feed,27
find,26
fine,30
finger,22
finish,28
firefighter,28
firetruck,24
first,28
fish,20.5
fit,28
fix,25
flag,26
flower,20
food,23
foot,21
for,28
fork,22
french fries,23
friend,27
frog,22
full,27
game,26
garage,26
garbage,26
garden,29
gas station,28
gentle,28
get,24
giraffe,24
girl,24
give,26
give me five,25
glass,25
glasses,23
gloves,27
glue,29
go,20
go potty,23
gonna,27
gonna get you,25
good,24
good night,18
goose,27
gotta,30
grandma,18
grandpa,19
grapes,22
grass,23
green,24
green beans,27
gum,27
hafta,29
hair,20
hamburger,25
hammer,26
hand,21
happy,24
hard,28
hat,19
have,26
he,28
head,22
hear,27
heavy,25
helicopter,25
hello,19
help,23
hen,30
her,29
here,25
hide,25
high,26
high chair,26
him,30
his,30
hit,24
hold,25
home,22
horse,20
hose,27
hot,18
house,23
how,30
hug,22
hungry,24
hurry,27
hurt,24
i,24
ice,23
ice cream,22
in,24
is,28
it,26
jacket,24
jar,29
jeans,28
jello,28
jelly,26
juice,18
jump,23
keys,21
kick,24
kiss,21
kitchen,24
kitty,18
knee,23
knife,25
knock,26
ladder,27
lady,28
lamb,27
lamp,28
later,28
lawn mower,27
leg,23
lemme,26
lick,27
light,20
like,26
lion,23
lips,25
listen,28
little,25
living room,27
lollipop,27
long,29
look,24
loud,26
love,23
lunch,24
mad,28
mailman,28
make,26
man,25
me,22
meat,26
medicine,24
melon,28
milk,18
mine,20
mittens,28
money,23
monkey,21
moon,21
moose,29
mop,29
more,20
morning,27
motorcycle,25
mouse,23
mouth,20
movie,27
muffin,26
my,25
myself,30
nail,28
nap,23
napkin,25
necklace,26
need,28
new,28
next to,30
nice,25
night,24
noisy,28
nose,17
not,28
now,26
nuts,27
off,22
old,29
on,22
on top of,29
open,22
orange,23.5
other,29
ouch,17
out,22
outside,20
oven,27
over,27
owie,19
owl,24
paint,26
pajamas,23
pancake,24
pants,22
paper,23
park,23
party,26
pasta,24
pattycake,25
peanut butter,25
peas,25
peekaboo,19
pen,24
pencil,25
penguin,27
penis,27
penny,27
people,27
pet's name,21
pick,28
pickle,26
picnic,28
picture,24
pig,21
pillow,22
pizza,22
plant,26
plate,24
play,23
play dough,27
playground,28
please,19
police,28
pony,28
pool,24
popcorn,24
popsicle,26
porch,30
potato,25
potty,21
pour,28
present,25
pretend,30
pretty,24
pretzel,26
pudding,29
pull,26
pumpkin,25
puppy,21
purse,25
push,25
put,27
puzzle,24
quack quack,17
quiet,27
radio,27
rain,22
raisin,24
read,23
red,24
refrigerator,26
ride,24
rip,30
rock,22
rocking chair,26
roof,29
room,25
rooster,28
run,24
sad,26
salt,28
same,30
sandbox,27
sandwich,25
sauce,28
say,27
scared,26
school,24
scissors,26
see,23
shake,27
share,26
she,29
sheep,23
shh,19
shirt,22
shopping,26
shorts,25
shoulder,27
shovel,26
show,27
shower,24
sick,26
sidewalk,27
sing,24
sink,25
sister,27
sit,22
skate,30
sky,24
sled,30
sleep,23
sleepy,25
slide,23.5
slipper,27
slow,28
smile,27
snack,24
sneaker,30
snow,25
snowman,27
so big,27
soap,23
