word,babiness
quack,2.5
quiet,3.3
radio,1.8
rain,2.166666667
raisin,2.4
read,4.636363636
red,2
refrigerator,2.352941176
ride,2.7
rip,2.176470588
rock,3.368421053
roof,1.333333333
room,4.6
rooster,1.5
run,2
sad,2.1
salt,1
same,2.25
sandwich,2.7
sauce,1.818181818
say,3.9
scared,4.947368421
scarf,2.6
school,3.785714286
scissors,1.2
see,5.181818182
shake,3.545454545
share,3.857142857
she,4.588235294
sheep,3.4
shh,7.454545455
shirt,5
shoe,4.153846154
shopping,3.769230769
shorts,3.6
shoulder,2.833333333
shovel,2
show,3.307692308
shower,2.727272727
sick,5.6
sing,6.1875
sink,3.166666667
sister,7.1
sit,5.833333333
skate,2.071428571
sky,2.416666667
sled,1.545454545
sleep,7.727272727
sleepy,6.7
slipper,2
slow,3.133333333
smile,5.636363636
snack,3.166666667
sneaker,2.2
snow,1.444444444
so,1.8
soap,4.9
sock,4.6
soda,1.2
sofa,2.2
soft,7.4375
some,1.6
soup,2.636363636
spaghetti,4
spill,7.0625
splash,3.0625
spoon,6.9
sprinkler,2.727272727
squirrel,1.5
stairs,2.090909091
stand,2.5
star,3.636363636
stay,3.2
stick,1.25
sticky,5.916666667
stone,1.153846154
stop,2.777777778
store,3.75
story,7
stove,1.1
strawberry,2.833333333
street,1.7
stroller,8.538461538
stuck,2.4
sun,2.588235294
sweater,2.909090909
sweep,1.6875
swim,2.5
table,3.928571429
take,4.3
talk,5.090909091
tape,1.5
taste,4.333333333
teacher,2.9
tear,7.4
thanks,2.75
that,1.538461538
the,2
their,2.7
them,4.1
then,2.3
there,2.230769231
these,2.090909091
they,2.909090909
think,2.7
thirsty,4.454545455
this,2.3
those,2.818181818
throw,3.5
tickle,6.842105263
tiger,2
tights,2.666666667
time,4.3
tiny,8
tired,4.25
tissue,3
to,2.5
toast,2.533333333
today,2.714285714
toe,4.357142857
tomorrow,2.133333333
tongue,3.8
tonight,2.5
too,2
tooth,7.3
top,2.636363636
touch,6.4
towel,5.4
toy,8.266666667
tractor,1.294117647
train,3.545454545
trash,1.727272727
tray,2.3
tree,3.363636364
truck,3.181818182
try,3.8
tummy,7.166666667
tuna,2.2
turkey,2.636363636
turn,3.3
turtle,2.083333333
TV,2.5
uh oh,7.083333333
uncle,5.222222222
under,2.181818182
